参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
临洮,103.625,35.125,2001,1,0.18,12.26,-9.38,5.98,7.21,-14.4,-3.46,0.138769619,0.418106326
临洮,103.625,35.125,2001,2,0.191,12.38,-6.52,5.39,8.17,-11.87,0.1,0.997882178,0.019476122
临洮,103.625,35.125,2001,3,0.211,12.01,-2.24,6.08,9.82,-7.72,5.71,-2.968063405,0.325177986
临洮,103.625,35.125,2001,4,0.278,16.82,4.02,28.6,45.91,-10.67,11.88,0.544914185,-0.288301804
临洮,103.625,35.125,2001,5,0.597,20.05,8.73,61.48,48.36,3.65,16.17,-2.243913948,0.214894782
临洮,103.625,35.125,2001,6,0.64,17.88,13.99,82.05,58.93,5.39,18.75,-0.128227958,0.963975358
临洮,103.625,35.125,2001,7,0.703,17.27,17.79,83.4,78.03,11.83,22.29,-0.103309223,1.071795016
临洮,103.625,35.125,2001,8,0.636,17.25,14.13,61.88,63.17,7.81,19.07,-0.174757167,-0.157607698
临洮,103.625,35.125,2001,9,0.605,22.87,10.49,39.16,117.13,6.77,16.12,0.894610403,0.678865886
临洮,103.625,35.125,2001,10,0.479,22.21,5.82,27.5,36.36,-0.63,9.44,0.263642594,1.796636659
临洮,103.625,35.125,2001,11,0.365,18.66,-1.77,13.52,11.97,-4.43,4.52,-0.941346529,1.025012714
临洮,103.625,35.125,2001,12,0.262,14.06,-7.94,5.36,5.97,-18.47,-2.45,1.241080834,-0.503450298
临洮,103.625,35.125,2002,1,0.243,11.69,-8.63,5.44,7.59,-15.38,1.31,1.140042824,0.499983613
临洮,103.625,35.125,2002,2,0.231,11.13,-4.06,5.24,6.49,-13.76,4.24,-0.514510828,0.911753091
临洮,103.625,35.125,2002,3,0.254,14.31,-0.3,13.76,20.17,-8.75,8.58,0.01786685,0.729119973
临洮,103.625,35.125,2002,4,0.498,17.95,6.43,36.36,36.72,-1.02,14.73,-0.391163099,0.941491606
