参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
佛坪,107.625,33.375,2001,1,0.306,22.94,-0.58,18.53,22.52,-4.16,3.13,0.791511569,0.158690123
佛坪,107.625,33.375,2001,2,0.325,22.77,3.02,16.59,7.34,-2.52,8.67,0.669395817,0.794589609
佛坪,107.625,33.375,2001,3,0.384,19.12,8.44,40.67,15.59,1.0,14.98,-2.540770203,1.256224881
佛坪,107.625,33.375,2001,4,0.589,21.67,12.73,60.11,55.91,1.19,20.49,0.097862651,-0.949792741
佛坪,107.625,33.375,2001,5,0.707,21.18,18.58,113.83,47.87,9.8,23.96,-1.584263854,0.681491724
佛坪,107.625,33.375,2001,6,0.735,22.63,21.33,106.18,103.19,16.31,24.6,0.412450017,0.126988546
佛坪,107.625,33.375,2001,7,0.817,19.11,24.99,109.55,81.37,19.43,28.31,-0.816791626,1.23888595
佛坪,107.625,33.375,2001,8,0.825,21.32,21.89,77.59,89.15,15.12,26.17,-0.472308635,-1.090159467
佛坪,107.625,33.375,2001,9,0.782,26.27,17.39,38.2,113.67,12.03,22.01,0.343933423,-0.560427488
佛坪,107.625,33.375,2001,10,0.656,25.91,13.56,30.85,75.71,9.89,17.35,0.027526508,1.373416205
佛坪,107.625,33.375,2001,11,0.502,23.97,6.81,18.97,9.56,0.92,10.83,-0.458272331,0.658304211
佛坪,107.625,33.375,2001,12,0.408,23.55,-0.5,14.55,20.62,-7.4,5.52,1.616952922,-1.754883125
佛坪,107.625,33.375,2002,1,0.38,22.41,2.04,15.89,13.68,-3.16,7.85,0.262786356,1.047544947
佛坪,107.625,33.375,2002,2,0.286,22.3,4.7,13.43,13.1,-0.87,8.87,0.967715205,1.200820911
佛坪,107.625,33.375,2002,3,0.353,22.4,9.2,34.06,31.58,0.23,15.34,0.038310869,1.104966371
佛坪,107.625,33.375,2002,4,0.656,24.37,12.16,58.57,73.3,5.61,19.14,0.002696917,-0.221013953
佛坪,107.625,33.375,2002,5,0.813,27.17,16.31,87.43,120.85,10.63,23.25,-0.197349216,-0.835277042
佛坪,107.625,33.375,2002,6,0.821,26.86,22.92,119.02,149.54,18.49,25.66,1.746144274,2.032486463
佛坪,107.625,33.375,2002,7,0.821,23.46,24.37,144.05,64.59,19.26,29.0,-1.333682418,0.971065946
佛坪,107.625,33.375,2002,8,0.806,25.23,22.25,105.35,99.94,16.67,28.03,0.078875364,-0.696111658
佛坪,107.625,33.375,2002,9,0.79,22.09,18.43,72.45,80.14,12.1,25.53,-0.762711802,0.277299168
佛坪,107.625,33.375,2002,10,0.68,24.39,14.0,55.19,73.08,6.23,19.7,-0.517182283,0.990234877
佛坪,107.625,33.375,2002,11,0.542,22.95,7.35,17.88,18.23,2.85,11.79,-1.408483428,0.586169755
佛坪,107.625,33.375,2002,12,0.4,22.61,0.22,7.77,13.51,-10.69,8.72,1.496016671,-1.059401181
佛坪,107.625,33.375,2003,1,0.376,20.6,1.45,14.18,15.34,-5.04,6.77,0.382547261,0.442474289
佛坪,107.625,33.375,2003,2,0.392,21.36,4.09,15.75,12.4,-1.19,9.97,0.269899466,0.966535344
佛坪,107.625,33.375,2003,3,0.404,21.28,7.35,31.53,28.98,-4.5,19.95,0.742685339,-0.21862737
佛坪,107.625,33.375,2003,4,0.589,23.6,12.13,50.88,57.64,5.82,20.58,-0.377807668,-0.125310786
佛坪,107.625,33.375,2003,5,0.802,25.16,17.75,97.98,95.44,13.5,22.94,-0.398104267,0.190260898
佛坪,107.625,33.375,2003,6,0.821,22.93,21.45,123.36,88.4,12.69,25.85,-0.782750508,0.65245858
佛坪,107.625,33.375,2003,7,0.806,26.28,23.16,100.74,159.95,18.18,26.93,0.369832101,-0.619058011
佛坪,107.625,33.375,2003,8,0.821,27.96,21.79,80.91,207.14,14.33,26.07,1.451343591,-0.986353087
佛坪,107.625,33.375,2003,9,0.743,30.58,18.57,71.43,153.68,11.08,21.65,0.949793455,0.828442142
佛坪,107.625,33.375,2003,10,0.707,30.35,12.01,38.96,111.9,7.45,16.35,0.556850002,-0.415775423
佛坪,107.625,33.375,2003,11,0.55,28.64,5.79,20.22,34.55,0.44,14.35,1.198316612,-0.29815525
佛坪,107.625,33.375,2003,12,0.431,24.86,1.55,18.82,15.84,-2.51,4.07,0.462759199,0.261571004
佛坪,107.625,33.375,2004,1,0.4,23.71,-0.29,26.41,27.31,-5.76,4.13,0.12324903,0.088141669
佛坪,107.625,33.375,2004,2,0.365,23.1,4.47,29.43,32.42,-3.86,11.38,-0.092900521,1.066105841
佛坪,107.625,33.375,2004,3,0.412,24.61,7.89,37.77,32.56,2.05,16.81,-0.361291074,0.665389962
佛坪,107.625,33.375,2004,4,0.707,23.93,15.26,71.38,33.18,6.88,24.16,-1.188218953,2.078670433
佛坪,107.625,33.375,2004,5,0.782,23.13,17.52,102.75,74.23,6.82,23.37,-0.104552963,0.291207522
佛坪,107.625,33.375,2004,6,0.806,22.21,20.84,102.99,79.21,13.7,27.72,-0.470457497,-0.494631861
佛坪,107.625,33.375,2004,7,0.825,21.79,23.6,123.25,103.72,18.13,26.28,-0.768184254,-0.051177422
佛坪,107.625,33.375,2004,8,0.833,24.2,21.9,82.55,104.45,16.04,25.8,-0.422002046,-0.399560154
佛坪,107.625,33.375,2004,9,0.794,26.03,18.05,61.89,145.26,8.89,22.54,0.358458104,0.087781523
佛坪,107.625,33.375,2004,10,0.695,26.32,11.52,34.44,43.22,6.31,15.24,-0.299145315,-1.045305871
佛坪,107.625,33.375,2004,11,0.55,26.08,6.95,16.86,43.73,-2.5,13.83,0.228678914,-0.091060394
佛坪,107.625,33.375,2004,12,0.388,24.2,1.95,12.13,19.11,-10.16,8.11,2.271615346,0.207823298
佛坪,107.625,33.375,2005,1,0.325,24.83,-0.68,20.81,7.8,-6.06,1.47,-0.378557202,-0.81313878
佛坪,107.625,33.375,2005,2,0.416,21.81,0.64,17.15,22.81,-6.36,8.11,-0.353278178,-0.669930221
佛坪,107.625,33.375,2005,3,0.431,22.65,7.57,38.12,22.95,-0.55,13.91,-0.730155314,0.08110535
佛坪,107.625,33.375,2005,4,0.597,21.67,15.54,73.35,45.49,7.59,21.7,-0.880475195,1.59735697
佛坪,107.625,33.375,2005,5,0.782,22.72,17.69,86.52,73.94,12.39,21.78,-0.548878355,0.361390327
佛坪,107.625,33.375,2005,6,0.79,22.83,23.08,132.59,112.37,16.39,27.27,-0.527839623,1.836363542
佛坪,107.625,33.375,2005,7,0.821,25.14,23.8,121.43,141.6,19.69,26.15,0.488050289,-0.059317649
佛坪,107.625,33.375,2005,8,0.786,25.23,21.08,92.54,99.36,13.35,26.51,0.589485134,-1.910012065
佛坪,107.625,33.375,2005,9,0.809,23.83,19.52,90.84,117.89,14.18,24.19,0.493102185,1.224175252
佛坪,107.625,33.375,2005,10,0.707,26.54,12.19,42.69,86.3,7.96,15.78,0.985027207,-1.000219768
佛坪,107.625,33.375,2005,11,0.557,24.64,8.7,26.68,24.63,4.26,13.89,-0.577108421,0.686932312
佛坪,107.625,33.375,2005,12,0.443,20.39,1.74,15.3,2.75,-2.02,4.99,-1.347954087,-0.335196029
佛坪,107.625,33.375,2006,1,0.365,19.93,1.09,13.34,13.26,-5.78,5.73,0.557289478,0.273170537
佛坪,107.625,33.375,2006,2,0.345,23.76,4.29,21.64,57.29,-0.73,9.47,0.663235226,0.3424736
佛坪,107.625,33.375,2006,3,0.376,24.15,9.87,49.18,27.72,-1.87,17.07,-1.271063613,0.634173295
佛坪,107.625,33.375,2006,4,0.613,25.01,14.33,81.48,83.77,2.64,21.85,-0.818735058,0.624268356
佛坪,107.625,33.375,2006,5,0.782,25.1,18.29,125.13,99.17,11.92,23.79,0.580558324,0.820901437
佛坪,107.625,33.375,2006,6,0.806,19.83,22.96,121.87,43.47,17.78,27.13,-1.537478861,1.723233778
佛坪,107.625,33.375,2006,7,0.829,19.33,25.1,116.69,92.8,19.74,28.15,0.36062102,2.187887065
佛坪,107.625,33.375,2006,8,0.829,18.41,23.94,91.0,78.62,19.13,27.99,-0.753092395,0.638259032
佛坪,107.625,33.375,2006,9,0.802,25.41,17.05,75.62,152.94,13.24,23.04,0.45869988,-0.917066906
佛坪,107.625,33.375,2006,10,0.75,22.9,14.17,50.54,56.81,9.99,17.55,-0.356455937,2.311305382
佛坪,107.625,33.375,2006,11,0.577,21.37,8.56,24.35,25.98,2.14,14.44,-0.94278864,0.897124801
佛坪,107.625,33.375,2006,12,0.487,21.29,2.55,16.18,13.44,0.99,4.78,-0.348189031,0.14060311
佛坪,107.625,33.375,2007,1,0.424,20.5,1.03,18.78,18.76,-1.77,5.99,-0.367389888,-0.057229611
佛坪,107.625,33.375,2007,2,0.353,19.42,6.33,17.1,22.75,3.85,10.25,0.569778756,1.694682285
佛坪,107.625,33.375,2007,3,0.424,20.93,8.87,30.98,39.04,2.12,20.78,-0.125976235,0.403923243
佛坪,107.625,33.375,2007,4,0.64,21.47,13.23,65.38,37.65,7.12,20.17,-1.880236363,0.105126714
佛坪,107.625,33.375,2007,5,0.778,20.5,19.7,117.69,75.86,12.4,24.75,-0.434398677,2.401683512
佛坪,107.625,33.375,2007,6,0.817,21.39,20.91,100.39,119.33,15.74,26.16,-0.25147218,-0.354294811
佛坪,107.625,33.375,2007,7,0.798,26.13,21.99,112.41,204.33,18.4,24.89,1.25669425,-1.642347428
佛坪,107.625,33.375,2007,8,0.853,24.4,23.22,123.1,110.95,18.02,26.22,-0.162897887,0.729176738
佛坪,107.625,33.375,2007,9,0.833,23.39,17.53,74.94,47.97,13.64,21.12,-0.461154815,-0.370140563
佛坪,107.625,33.375,2007,10,0.715,23.56,12.73,29.9,79.95,6.76,21.97,0.375208689,-0.583108898
佛坪,107.625,33.375,2007,11,0.55,22.65,8.77,28.04,11.76,5.53,12.32,-2.511327328,0.894240511
佛坪,107.625,33.375,2007,12,0.4,20.8,3.41,14.73,12.14,-0.29,6.39,0.088243337,0.558895523
佛坪,107.625,33.375,2008,1,0.514,18.49,-1.55,18.33,34.98,-6.18,6.7,0.746813626,-2.352765381
佛坪,107.625,33.375,2008,2,0.514,22.3,1.62,27.52,8.52,-3.88,8.6,-0.706027643,-1.972220533
佛坪,107.625,33.375,2008,3,0.416,21.33,10.56,35.05,39.66,5.19,15.97,0.595535572,1.248838122
佛坪,107.625,33.375,2008,4,0.695,24.31,13.6,67.62,78.61,7.02,18.2,-0.878314536,0.376552848
佛坪,107.625,33.375,2008,5,0.794,22.35,18.49,111.96,68.03,12.78,23.54,-2.824828119,1.268013117
佛坪,107.625,33.375,2008,6,0.798,22.27,20.64,106.06,107.77,15.86,24.08,-0.515239518,-0.026348726
佛坪,107.625,33.375,2008,7,0.845,24.59,22.99,133.23,139.05,17.97,25.22,-1.296574194,-0.104353471
佛坪,107.625,33.375,2008,8,0.861,23.98,20.89,96.34,128.0,15.56,25.13,-0.327764753,-1.246180963
佛坪,107.625,33.375,2008,9,0.825,25.84,18.09,72.25,98.61,10.8,22.28,-0.210551959,0.356186603
佛坪,107.625,33.375,2008,10,0.715,26.11,13.52,48.23,94.0,10.35,16.61,-0.725981047,0.845600066
佛坪,107.625,33.375,2008,11,0.609,25.77,7.53,29.05,38.3,1.62,13.86,0.312397783,0.105528612
佛坪,107.625,33.375,2008,12,0.424,21.86,3.5,21.41,5.98,-2.83,7.86,-2.063656041,0.735675448
佛坪,107.625,33.375,2009,1,0.416,18.33,1.78,13.8,6.32,-3.65,6.9,-1.257262608,0.738174957
佛坪,107.625,33.375,2009,2,0.38,18.26,6.26,16.68,8.61,2.41,10.95,0.907376158,1.353090754
佛坪,107.625,33.375,2009,3,0.455,21.47,9.49,36.54,36.39,1.2,18.43,-0.353029406,0.561648681
佛坪,107.625,33.375,2009,4,0.672,22.57,14.07,60.27,70.3,5.81,18.48,-0.522010249,0.470864538
佛坪,107.625,33.375,2009,5,0.786,25.77,16.15,85.4,115.67,11.32,19.52,1.766674312,-0.765121074
佛坪,107.625,33.375,2009,6,0.806,24.76,21.3,113.63,79.74,17.31,25.9,0.33972805,1.123082681
佛坪,107.625,33.375,2009,7,0.841,24.55,23.49,129.36,122.75,19.29,26.46,-0.366014243,0.146156355
佛坪,107.625,33.375,2009,8,0.849,26.16,21.5,106.78,146.24,17.32,24.63,0.810935755,-0.941680547
佛坪,107.625,33.375,2009,9,0.833,25.96,18.25,73.67,100.04,13.41,24.1,-0.771111016,0.814559332
佛坪,107.625,33.375,2009,10,0.75,26.48,14.24,51.32,72.64,9.53,20.16,-0.886009066,1.699349366
佛坪,107.625,33.375,2009,11,0.561,26.15,5.34,30.96,33.67,-2.38,14.07,0.750682906,-2.278219621
佛坪,107.625,33.375,2009,12,0.435,23.93,2.6,22.84,16.12,-1.68,5.84,-0.009303714,0.044157338
佛坪,107.625,33.375,2010,1,0.396,21.19,3.4,21.27,11.43,0.24,6.93,-2.346911897,1.69286575
佛坪,107.625,33.375,2010,2,0.388,21.41,4.29,22.12,16.1,-1.98,12.09,-0.361186638,0.5688246
佛坪,107.625,33.375,2010,3,0.451,21.55,8.21,35.39,40.78,-0.03,17.11,0.63346768,-0.128055754
佛坪,107.625,33.375,2010,4,0.526,23.3,11.7,61.82,48.71,3.27,17.76,-0.518445926,-1.249518902
佛坪,107.625,33.375,2010,5,0.75,26.69,16.72,95.68,124.08,11.48,22.86,0.185877742,-0.407676979
佛坪,107.625,33.375,2010,6,0.829,23.63,19.44,90.54,46.11,13.31,24.72,-0.853333525,-0.613869724
佛坪,107.625,33.375,2010,7,0.813,27.06,22.64,110.64,214.72,19.06,24.82,0.863152743,0.725783298
佛坪,107.625,33.375,2010,8,0.813,27.65,20.7,140.78,138.54,15.65,25.66,0.361365556,-0.094580272
佛坪,107.625,33.375,2010,9,0.817,27.75,17.09,90.18,122.06,10.49,22.31,-0.84344351,1.285985095
佛坪,107.625,33.375,2010,10,0.735,25.26,11.38,55.08,32.15,3.99,15.53,-1.158955895,-0.182043164
佛坪,107.625,33.375,2010,11,0.565,23.39,6.78,31.76,28.93,3.7,10.88,-2.487811553,0.682337905
佛坪,107.625,33.375,2010,12,0.439,22.06,1.42,26.19,21.07,-10.62,6.12,-1.1130918,0.519486891
佛坪,107.625,33.375,2011,1,0.412,17.57,-3.41,12.06,15.78,-8.27,-0.33,-0.805712549,-2.735179208
佛坪,107.625,33.375,2011,2,0.376,21.32,3.26,18.82,15.38,-0.9,7.88,1.074838033,0.555931669
佛坪,107.625,33.375,2011,3,0.392,20.41,5.64,30.58,14.85,1.37,10.65,-1.476934546,-1.062226404
佛坪,107.625,33.375,2011,4,0.77,18.63,13.79,68.01,53.87,6.75,20.21,-2.386847973,1.276522246
佛坪,107.625,33.375,2011,5,0.802,24.15,15.39,114.01,118.21,9.08,22.64,0.418031099,-0.280922931
佛坪,107.625,33.375,2011,6,0.837,23.84,18.58,111.45,85.68,13.75,22.29,0.350937499,0.621760977
佛坪,107.625,33.375,2011,7,0.845,24.47,19.81,126.48,167.89,16.7,23.81,0.4512992,-1.355498812
佛坪,107.625,33.375,2011,8,0.872,25.57,19.91,126.16,121.52,16.46,24.29,-0.036633639,-0.110056023
佛坪,107.625,33.375,2011,9,0.853,28.56,14.94,77.47,210.16,8.5,21.89,1.938844259,-1.256189701
佛坪,107.625,33.375,2011,10,0.746,27.18,11.58,57.11,62.45,6.84,17.2,-0.351269006,0.293320501
佛坪,107.625,33.375,2011,11,0.609,26.84,8.16,32.15,70.77,4.66,11.13,1.828873702,1.500047212
佛坪,107.625,33.375,2011,12,0.459,24.62,1.15,21.74,2.83,-1.92,3.88,-0.248832094,-0.189320102
佛坪,107.625,33.375,2012,1,0.369,20.99,-0.95,13.9,16.05,-4.94,2.96,-0.273721812,-0.335542609
佛坪,107.625,33.375,2012,2,0.353,19.78,1.72,15.34,5.16,-1.5,7.08,-0.932177875,-0.602526939
佛坪,107.625,33.375,2012,3,0.439,20.17,7.46,28.34,17.76,1.51,13.77,-0.490927703,-0.08899762
佛坪,107.625,33.375,2012,4,0.644,22.74,13.45,72.75,38.28,9.44,17.95,-1.453014565,1.397400383
佛坪,107.625,33.375,2012,5,0.798,23.67,15.7,99.02,122.71,12.33,19.28,0.40736206,0.497057137
佛坪,107.625,33.375,2012,6,0.837,24.06,18.74,119.78,76.94,14.05,21.55,-1.317815491,0.722141078
佛坪,107.625,33.375,2012,7,0.837,25.97,21.09,127.78,171.74,17.3,23.68,0.576070407,0.293742143
佛坪,107.625,33.375,2012,8,0.861,23.96,20.9,122.43,121.35,16.82,24.53,0.347918774,0.06172884
佛坪,107.625,33.375,2012,9,0.829,26.41,15.66,90.97,114.74,11.1,19.88,-0.501563389,-0.458912361
佛坪,107.625,33.375,2012,10,0.75,23.37,12.09,48.68,37.36,8.59,15.43,-1.803211138,0.394287001
佛坪,107.625,33.375,2012,11,0.557,21.65,5.79,23.58,15.26,0.53,10.12,0.301847944,-0.672433108
佛坪,107.625,33.375,2012,12,0.451,19.62,0.56,11.87,5.18,-5.38,4.31,-0.129580929,-0.913603992
佛坪,107.625,33.375,2013,1,0.431,15.94,1.28,7.54,1.95,-3.35,6.67,-1.216787401,0.598416225
佛坪,107.625,33.375,2013,2,0.435,20.47,4.79,14.92,20.56,-9.25,9.9,0.128355251,0.979716638
佛坪,107.625,33.375,2013,3,0.534,19.65,11.34,33.7,31.05,5.67,15.05,-3.056153088,1.787779133
佛坪,107.625,33.375,2013,4,0.695,20.6,13.2,65.86,52.13,5.82,20.33,-1.519911787,0.638407051
佛坪,107.625,33.375,2013,5,0.821,25.9,16.28,106.16,173.61,9.41,21.83,0.538085039,0.580713703
佛坪,107.625,33.375,2013,6,0.845,24.84,20.41,127.82,83.55,15.73,26.37,-0.398446967,1.501521015
佛坪,107.625,33.375,2013,7,0.829,26.57,22.34,128.65,178.78,18.9,25.09,0.832382508,0.510012377
佛坪,107.625,33.375,2013,8,0.857,24.91,22.05,131.71,107.71,18.64,26.0,-0.454758851,0.902269789
佛坪,107.625,33.375,2013,9,0.837,26.07,16.89,86.96,122.62,12.31,20.8,-2.202055397,0.46475604
佛坪,107.625,33.375,2013,10,0.75,23.37,12.92,55.46,44.15,7.97,18.25,-1.693617834,1.583576309
佛坪,107.625,33.375,2013,11,0.589,23.29,6.83,25.84,21.19,1.67,10.78,0.190849815,0.190418204
佛坪,107.625,33.375,2013,12,0.514,20.49,1.55,14.03,2.06,-1.69,5.81,-1.357557922,0.420723015
