参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
华家岭,105.125,35.125,2001,1,0.113,14.58,-7.55,7.97,14.83,-13.38,-2.18,0.715177054,0.931391237
华家岭,105.125,35.125,2001,2,0.128,17.77,-4.0,8.73,9.84,-8.26,2.85,1.152607406,0.713094128
华家岭,105.125,35.125,2001,3,0.14,14.05,0.43,9.68,8.19,-7.82,9.29,-3.11427342,0.762348858
华家岭,105.125,35.125,2001,4,0.172,19.09,6.72,31.48,42.6,-6.26,14.26,0.767946904,-0.686600221
华家岭,105.125,35.125,2001,5,0.243,21.58,12.51,72.23,40.63,7.17,19.61,-1.411633682,0.944548742
华家岭,105.125,35.125,2001,6,0.313,21.41,16.7,74.96,67.11,8.79,21.06,-0.120203905,1.161268923
华家岭,105.125,35.125,2001,7,0.278,20.64,19.92,75.31,72.4,13.96,23.05,-0.478532658,1.301974833
华家岭,105.125,35.125,2001,8,0.239,22.07,16.63,51.18,71.45,10.03,21.86,-0.618345585,0.334052412
华家岭,105.125,35.125,2001,9,0.258,27.78,11.99,33.64,121.98,7.74,16.29,1.301135453,-0.157688142
华家岭,105.125,35.125,2001,10,0.203,26.89,8.16,23.86,31.22,2.92,12.25,-0.464714905,1.336076132
华家岭,105.125,35.125,2001,11,0.199,23.09,0.47,18.13,9.35,-4.43,7.7,-0.517221808,0.969383797
华家岭,105.125,35.125,2001,12,0.164,18.46,-6.39,11.65,9.33,-16.38,-0.36,1.224259183,-0.085739451
华家岭,105.125,35.125,2002,1,0.152,14.06,-5.79,5.82,7.74,-12.18,2.92,1.047173754,1.4241411
华家岭,105.125,35.125,2002,2,0.144,12.88,-1.33,3.73,6.75,-9.75,4.15,-0.003920051,0.904587944
华家岭,105.125,35.125,2002,3,0.152,15.52,3.01,14.49,20.37,-5.25,11.56,0.127133675,0.902432361
华家岭,105.125,35.125,2002,4,0.207,21.09,8.03,43.7,37.33,1.29,17.56,-0.157132534,0.128742039
华家岭,105.125,35.125,2002,5,0.274,25.97,11.08,58.85,93.21,3.79,17.69,1.265154684,-0.956305061
华家岭,105.125,35.125,2002,6,0.357,23.75,17.72,85.64,68.24,11.82,21.37,0.539271282,1.641809254
华家岭,105.125,35.125,2002,7,0.29,21.07,19.14,80.1,53.96,14.37,23.35,-0.462808633,0.826258719
华家岭,105.125,35.125,2002,8,0.199,21.64,17.5,60.14,40.81,11.52,23.69,-0.572171179,0.733605883
华家岭,105.125,35.125,2002,9,0.187,21.44,12.53,32.22,61.9,5.69,21.21,-0.09374565,0.618206145
华家岭,105.125,35.125,2002,10,0.187,22.52,7.12,27.07,40.16,-1.47,14.27,-0.193628847,0.796988999
华家岭,105.125,35.125,2002,11,0.164,21.34,1.19,17.83,12.42,-3.35,6.45,-1.039618822,0.790363408
华家岭,105.125,35.125,2002,12,0.164,18.04,-5.73,8.39,7.03,-17.94,1.78,1.378728571,0.12126688
华家岭,105.125,35.125,2003,1,0.132,15.39,-4.99,5.65,12.07,-11.24,1.42,0.176420036,0.934655542
华家岭,105.125,35.125,2003,2,0.124,16.46,-1.07,11.03,8.56,-6.92,5.63,0.207291422,1.178417618
华家岭,105.125,35.125,2003,3,0.12,18.73,2.3,20.86,24.64,-6.81,14.31,-0.228267068,0.503526116
华家岭,105.125,35.125,2003,4,0.156,21.53,7.29,39.45,39.59,-1.54,15.32,-0.036785002,-0.024738899
华家岭,105.125,35.125,2003,5,0.215,23.34,11.93,59.7,75.0,4.92,18.4,1.164776809,0.087480494
华家岭,105.125,35.125,2003,6,0.258,22.26,16.37,91.39,66.35,10.19,20.62,-0.233355454,0.706481301
华家岭,105.125,35.125,2003,7,0.294,23.77,18.35,76.74,104.94,13.46,22.42,0.367742839,-0.100139341
华家岭,105.125,35.125,2003,8,0.321,25.95,16.44,57.29,108.79,9.08,21.27,1.417518377,-0.53781043
华家岭,105.125,35.125,2003,9,0.306,28.11,12.77,44.93,126.54,4.38,17.3,0.544469652,0.585700518
华家岭,105.125,35.125,2003,10,0.262,29.28,6.42,29.3,66.99,1.58,10.88,1.314116032,-0.298064756
华家岭,105.125,35.125,2003,11,0.199,25.71,0.31,21.28,17.47,-7.03,9.2,1.085297321,-0.391653843
华家岭,105.125,35.125,2003,12,0.156,23.49,-4.82,17.63,9.12,-10.9,-0.5,-0.316430313,0.285195892
华家岭,105.125,35.125,2004,1,0.136,15.63,-5.82,4.96,5.12,-13.07,-0.72,0.533684421,0.642668528
华家岭,105.125,35.125,2004,2,0.132,13.51,-1.65,7.45,15.04,-10.52,6.57,-0.112275386,0.786353569
华家岭,105.125,35.125,2004,3,0.14,16.32,3.33,14.69,21.12,-5.35,10.86,-0.274118868,0.42228182
华家岭,105.125,35.125,2004,4,0.187,20.24,10.62,43.51,22.83,1.81,18.4,-2.687204831,1.867104873
华家岭,105.125,35.125,2004,5,0.262,21.64,11.8,68.32,53.96,-1.58,18.17,0.159663597,-0.047953736
华家岭,105.125,35.125,2004,6,0.313,21.91,15.94,72.36,50.56,8.77,22.19,-0.119880945,-0.328669386
华家岭,105.125,35.125,2004,7,0.376,20.92,18.08,69.73,76.18,10.53,22.47,0.36461965,-0.094651684
