参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
华山,110.125,34.375,2001,1,0.246,20.71,-5.43,13.15,28.99,-11.14,-0.71,1.376362767,-0.134542344
华山,110.125,34.375,2001,2,0.274,27.04,-1.75,25.72,17.45,-7.33,4.74,0.604151168,0.734165284
华山,110.125,34.375,2001,3,0.278,17.26,3.91,27.34,10.28,-5.28,10.53,-1.791858593,1.127031072
华山,110.125,34.375,2001,4,0.321,21.68,9.76,58.73,48.89,-2.27,17.98,0.17863934,-0.752308263
华山,110.125,34.375,2001,5,0.652,20.77,16.07,94.97,28.67,7.11,20.76,-1.304844427,1.37471088
华山,110.125,34.375,2001,6,0.739,21.61,19.15,96.09,84.33,14.02,23.68,0.410442315,1.1742407
华山,110.125,34.375,2001,7,0.794,21.63,22.01,100.18,120.43,15.5,25.3,-0.703627178,1.394542329
华山,110.125,34.375,2001,8,0.829,23.53,18.51,78.52,72.68,12.38,23.75,-0.524481179,-0.237217232
华山,110.125,34.375,2001,9,0.739,24.43,13.54,46.58,67.98,7.11,18.55,-0.695353592,-0.233127505
华山,110.125,34.375,2001,10,0.589,24.78,9.14,26.25,61.68,4.64,13.14,0.146767481,0.966336007
华山,110.125,34.375,2001,11,0.357,22.25,1.12,14.32,7.81,-5.95,4.72,-1.478752654,0.605104833
华山,110.125,34.375,2001,12,0.325,19.93,-6.51,16.24,26.23,-12.67,-0.53,1.808813345,-1.692434263
华山,110.125,34.375,2002,1,0.282,22.6,-2.86,18.55,13.47,-7.73,3.12,0.999585047,1.658657211
华山,110.125,34.375,2002,2,0.274,19.87,0.26,12.95,7.99,-6.13,4.69,-0.405659912,1.456873457
华山,110.125,34.375,2002,3,0.27,18.43,4.77,24.54,23.52,-4.88,12.5,1.435646233,1.225369295
华山,110.125,34.375,2002,4,0.676,21.73,8.66,46.06,43.6,0.22,18.05,-0.498465149,-0.081843859
华山,110.125,34.375,2002,5,0.711,26.09,12.45,70.79,111.6,6.28,21.36,0.143015072,-0.802034193
华山,110.125,34.375,2002,6,0.794,25.26,19.72,109.05,127.32,13.8,23.29,1.280806238,1.828232782
华山,110.125,34.375,2002,7,0.837,23.48,21.21,117.38,64.55,15.2,26.08,-1.264432986,1.158285772
华山,110.125,34.375,2002,8,0.829,24.33,18.71,76.06,70.53,13.31,24.08,-0.302054147,0.329392537
华山,110.125,34.375,2002,9,0.782,23.54,14.11,51.89,82.54,8.18,22.87,-0.569181739,0.600026481
华山,110.125,34.375,2002,10,0.64,24.52,9.4,41.79,53.67,0.92,16.61,0.301284818,0.975821448
华山,110.125,34.375,2002,11,0.412,22.16,1.92,22.94,15.58,-4.22,7.81,-1.745971093,0.556681319
华山,110.125,34.375,2002,12,0.357,24.14,-6.23,13.88,23.36,-21.63,2.81,1.407105552,-1.315072408
华山,110.125,34.375,2003,1,0.278,23.53,-6.13,15.85,13.25,-18.55,-0.15,0.796714911,-0.095625421
华山,110.125,34.375,2003,2,0.266,24.58,-0.78,21.97,26.89,-8.02,5.08,0.319520818,0.735521937
华山,110.125,34.375,2003,3,0.306,22.35,3.06,33.6,21.06,-9.45,17.58,-0.329361841,-0.163798293
华山,110.125,34.375,2003,4,0.534,23.11,9.03,52.75,60.4,1.6,21.0,0.284150512,-0.302168181
华山,110.125,34.375,2003,5,0.731,23.96,14.53,82.47,74.62,8.22,20.89,-0.633824177,0.571666767
华山,110.125,34.375,2003,6,0.813,22.9,18.72,107.06,79.95,12.13,23.66,-0.004880407,0.753656182
华山,110.125,34.375,2003,7,0.825,26.63,19.76,93.69,147.02,12.41,24.05,0.481660856,-0.204626763
华山,110.125,34.375,2003,8,0.849,28.74,18.0,64.54,221.59,10.81,22.91,1.106113892,-1.366515261
华山,110.125,34.375,2003,9,0.802,30.9,15.01,57.6,149.66,6.65,19.73,1.638291089,0.897055749
华山,110.125,34.375,2003,10,0.676,30.14,7.4,36.68,123.52,0.65,13.08,0.774706725,-0.485126523
华山,110.125,34.375,2003,11,0.396,29.2,1.1,19.85,39.22,-5.32,12.46,1.283401061,-1.042428726
华山,110.125,34.375,2003,12,0.329,34.45,-5.41,33.43,21.66,-11.72,-0.28,0.20424005,-0.027587329
华山,110.125,34.375,2004,1,0.302,23.32,-6.34,20.86,12.79,-14.58,-0.89,0.183980766,0.11356145
华山,110.125,34.375,2004,2,0.294,17.24,-0.34,14.62,24.24,-10.04,9.5,1.466054575,1.309391778
华山,110.125,34.375,2004,3,0.294,21.86,4.22,34.51,24.02,-4.39,12.95,-0.382762246,0.767096762
华山,110.125,34.375,2004,4,0.668,21.92,12.06,62.94,19.85,4.19,20.61,-2.15382064,2.196237733
华山,110.125,34.375,2004,5,0.731,22.31,14.52,94.81,63.45,3.26,21.07,-0.622001921,0.934389713
华山,110.125,34.375,2004,6,0.794,21.36,18.47,96.58,77.56,7.8,25.03,-0.119771854,0.075971595
华山,110.125,34.375,2004,7,0.798,24.48,20.85,98.96,126.9,14.78,24.38,-0.611865518,-0.152712656
华山,110.125,34.375,2004,8,0.837,25.7,18.28,67.09,102.73,12.17,23.39,-0.425654117,-0.67735657
华山,110.125,34.375,2004,9,0.806,26.02,13.84,52.29,103.23,5.38,21.15,0.71694595,-0.194186313
华山,110.125,34.375,2004,10,0.64,26.38,7.33,35.61,30.16,1.55,13.21,-0.901600718,-0.489502939
华山,110.125,34.375,2004,11,0.392,25.71,1.67,20.43,30.26,-9.43,10.21,0.471765558,0.230099337
华山,110.125,34.375,2004,12,0.357,21.12,-3.87,8.29,23.13,-17.36,4.26,2.363343476,0.694763827
华山,110.125,34.375,2005,1,0.278,22.55,-7.17,19.22,9.19,-13.32,-4.17,-1.133692327,-0.149262136
华山,110.125,34.375,2005,2,0.27,23.21,-4.56,22.31,25.87,-13.1,3.64,-0.544114875,-0.546358222
华山,110.125,34.375,2005,3,0.278,20.44,3.14,34.93,15.3,-7.74,10.96,-1.025177772,0.124871758
华山,110.125,34.375,2005,4,0.357,18.23,12.69,57.59,23.83,1.24,20.79,-0.729726526,2.204962657
华山,110.125,34.375,2005,5,0.727,19.32,14.8,71.41,52.66,8.46,19.4,0.10230829,0.889861562
华山,110.125,34.375,2005,6,0.758,23.2,20.32,106.77,90.6,10.87,25.9,0.894438902,1.584912183
华山,110.125,34.375,2005,7,0.821,25.18,20.82,87.32,133.46,16.61,23.99,0.311307774,0.302800414
华山,110.125,34.375,2005,8,0.798,26.6,17.37,74.02,120.76,11.2,24.47,0.65067935,-1.346901034
华山,110.125,34.375,2005,9,0.802,27.23,15.43,59.85,143.03,9.46,20.18,0.743207759,1.377980419
华山,110.125,34.375,2005,10,0.672,29.07,7.83,39.5,76.42,3.35,11.61,0.673585355,-0.551833317
华山,110.125,34.375,2005,11,0.396,26.16,4.07,26.31,17.55,-0.88,10.25,-1.24848439,1.18342438
华山,110.125,34.375,2005,12,0.309,18.54,-5.94,8.62,2.98,-11.82,-1.04,-1.665549975,-0.855378365
华山,110.125,34.375,2006,1,0.278,15.16,-5.24,6.65,14.58,-13.34,-1.06,0.444273115,0.14271204
华山,110.125,34.375,2006,2,0.29,19.29,-1.44,18.68,34.89,-9.68,4.65,0.388702252,0.535341977
华山,110.125,34.375,2006,3,0.266,21.95,5.22,41.97,12.93,-4.76,13.64,-0.680010106,0.929602971
华山,110.125,34.375,2006,4,0.353,24.04,10.82,71.92,63.91,-0.54,21.57,-0.170043961,1.022843988
华山,110.125,34.375,2006,5,0.782,24.63,14.92,97.65,79.9,5.7,21.2,-0.229016907,0.922303729
华山,110.125,34.375,2006,6,0.782,21.25,20.09,109.68,46.69,13.0,25.53,-0.413647168,1.701313149
华山,110.125,34.375,2006,7,0.833,22.23,21.81,97.43,104.38,14.81,25.65,-0.375574997,1.688010732
华山,110.125,34.375,2006,8,0.857,21.95,20.07,84.37,70.49,13.78,24.33,-0.521773515,0.906709128
华山,110.125,34.375,2006,9,0.79,23.84,12.7,49.58,82.41,8.12,18.79,0.757005702,-0.889229158
华山,110.125,34.375,2006,10,0.617,23.25,11.16,37.6,38.11,5.7,15.63,-0.819356863,2.321756427
华山,110.125,34.375,2006,11,0.388,20.16,3.51,19.61,20.6,-3.02,10.25,-0.870840481,1.059032716
华山,110.125,34.375,2006,12,0.325,21.64,-3.19,18.44,8.1,-6.22,-0.27,-0.226182061,0.682639816
华山,110.125,34.375,2007,1,0.309,17.0,-4.67,16.09,13.72,-9.6,-1.22,-0.69134545,0.816091919
华山,110.125,34.375,2007,2,0.306,17.47,2.12,16.95,40.82,-3.04,6.7,0.650433712,1.694010864
华山,110.125,34.375,2007,3,0.278,22.87,4.2,33.58,50.36,-5.22,15.53,0.23710633,0.364404748
华山,110.125,34.375,2007,4,0.581,20.01,9.67,54.71,22.71,-1.22,16.82,-2.724014254,0.646070271
华山,110.125,34.375,2007,5,0.699,20.23,17.13,98.56,64.91,10.24,23.03,-0.63437527,2.801758914
华山,110.125,34.375,2007,6,0.794,21.09,19.03,81.5,78.45,12.07,23.56,-0.062391945,0.07698415
华山,110.125,34.375,2007,7,0.853,27.04,18.46,82.75,234.16,12.55,23.18,1.417325305,-2.055715223
华山,110.125,34.375,2007,8,0.853,26.7,19.11,105.77,97.4,11.05,21.69,-0.304466481,0.457720939
华山,110.125,34.375,2007,9,0.829,25.76,13.36,59.8,52.74,7.92,17.41,-0.474956489,-0.584490626
华山,110.125,34.375,2007,10,0.577,23.97,8.63,33.39,74.19,1.4,17.51,-0.767255976,-0.563133762
华山,110.125,34.375,2007,11,0.408,24.52,3.68,31.56,9.08,-2.55,8.3,-2.553681709,0.996498055
华山,110.125,34.375,2007,12,0.333,18.62,-3.06,11.42,12.74,-10.68,0.17,0.300638313,0.692302343
华山,110.125,34.375,2008,1,0.309,16.26,-8.51,11.22,31.78,-14.6,-0.23,1.176370984,-2.241210176
华山,110.125,34.375,2008,2,0.286,17.48,-5.81,24.71,7.47,-14.41,3.73,-0.920441203,-1.34263079
华山,110.125,34.375,2008,3,0.309,21.24,6.09,31.96,24.53,-1.07,11.98,-0.352464232,1.303513687
华山,110.125,34.375,2008,4,0.372,24.16,9.9,56.14,58.46,4.24,17.47,0.073752922,0.333304914
华山,110.125,34.375,2008,5,0.703,22.57,15.71,96.79,59.0,7.05,20.19,-1.187847483,1.151460754
