参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
吴旗,108.125,36.625,2001,1,0.128,12.44,-7.28,9.84,15.75,-14.76,-2.84,1.296571111,1.234624347
吴旗,108.125,36.625,2001,2,0.144,15.97,-3.48,12.29,13.96,-9.12,3.43,1.081033456,0.943936508
吴旗,108.125,36.625,2001,3,0.128,12.19,1.5,7.71,3.88,-9.9,8.7,-1.902740418,0.532397847
吴旗,108.125,36.625,2001,4,0.132,15.61,8.89,28.98,27.41,-2.52,17.1,0.937477176,-0.049231659
吴旗,108.125,36.625,2001,5,0.195,13.94,15.89,46.41,11.07,10.09,22.56,-1.941441539,1.581269393
吴旗,108.125,36.625,2001,6,0.239,16.25,19.88,60.71,45.26,12.48,25.8,-0.684523315,1.889567047
吴旗,108.125,36.625,2001,7,0.274,16.63,22.07,66.57,77.95,14.8,25.73,0.05729877,2.267238201
吴旗,108.125,36.625,2001,8,0.435,19.81,18.94,64.65,87.21,12.94,24.66,0.548353786,0.579979265
吴旗,108.125,36.625,2001,9,0.447,25.55,12.82,39.4,111.89,6.26,18.14,1.614883943,-0.275500206
吴旗,108.125,36.625,2001,10,0.361,24.68,8.49,25.49,32.94,1.67,12.37,1.028037668,1.197459433
吴旗,108.125,36.625,2001,11,0.207,19.85,0.0,15.0,5.1,-7.93,7.29,-0.080210151,0.67560371
吴旗,108.125,36.625,2001,12,0.168,16.83,-7.9,15.43,13.78,-16.17,-2.38,0.549989367,0.030496774
吴旗,108.125,36.625,2002,1,0.156,13.17,-4.95,5.95,7.2,-11.22,2.41,-0.019324521,2.079742108
吴旗,108.125,36.625,2002,2,0.152,12.51,-1.23,3.28,8.47,-7.03,2.91,0.100946761,1.420034538
吴旗,108.125,36.625,2002,3,0.148,14.94,3.84,13.98,13.25,-3.45,12.76,0.362574167,1.127453596
吴旗,108.125,36.625,2002,4,0.172,18.05,8.37,33.56,28.27,-2.35,19.21,0.214782907,0.032806207
吴旗,108.125,36.625,2002,5,0.278,21.73,13.13,51.77,48.94,5.92,21.64,0.510542474,-0.198852755
吴旗,108.125,36.625,2002,6,0.376,21.78,20.68,88.05,114.55,13.55,24.5,2.376161318,1.75703741
吴旗,108.125,36.625,2002,7,0.479,21.04,21.75,99.27,72.54,15.57,28.47,0.101279114,0.228445576
吴旗,108.125,36.625,2002,8,0.51,20.62,19.64,79.03,39.62,13.5,27.16,-1.222588216,0.768370998
吴旗,108.125,36.625,2002,9,0.459,19.96,13.94,41.1,64.67,6.43,25.17,-0.05971058,0.271689506
吴旗,108.125,36.625,2002,10,0.317,18.54,8.14,28.7,32.92,-1.61,16.36,0.010871822,0.455504273
吴旗,108.125,36.625,2002,11,0.223,15.55,0.61,10.56,1.62,-5.3,5.83,-1.646873141,0.792351641
吴旗,108.125,36.625,2002,12,0.211,14.26,-8.28,9.74,12.79,-21.69,1.38,2.618912194,-1.474303535
吴旗,108.125,36.625,2003,1,0.164,13.46,-8.79,3.28,6.23,-21.44,-1.42,-0.099450246,-0.892659555
吴旗,108.125,36.625,2003,2,0.172,13.32,-1.66,6.34,7.42,-10.5,5.37,0.491295845,1.055817911
吴旗,108.125,36.625,2003,3,0.176,16.25,2.15,17.12,19.98,-7.8,16.4,1.714718934,0.190463971
吴旗,108.125,36.625,2003,4,0.199,16.76,8.62,24.36,19.64,2.86,18.38,-2.44e-05,-0.190205339
吴旗,108.125,36.625,2003,5,0.282,19.16,14.44,53.76,51.87,5.87,19.56,0.589879819,0.265590971
吴旗,108.125,36.625,2003,6,0.325,18.39,19.58,76.4,53.61,13.6,24.07,0.347878479,0.101019283
吴旗,108.125,36.625,2003,7,0.392,20.84,20.81,82.86,89.07,13.7,24.96,-0.233191476,-0.274453866
吴旗,108.125,36.625,2003,8,0.451,21.79,18.26,65.15,141.39,12.51,23.57,1.750453855,-0.685489767
吴旗,108.125,36.625,2003,9,0.471,27.01,15.13,67.31,139.84,5.98,20.46,0.871663726,1.021613726
吴旗,108.125,36.625,2003,10,0.392,27.16,7.27,43.75,66.13,1.23,12.29,0.467953629,-0.198069297
吴旗,108.125,36.625,2003,11,0.231,23.97,-0.75,19.83,28.28,-8.91,10.58,1.065565425,-0.256497659
吴旗,108.125,36.625,2003,12,0.195,21.27,-6.25,19.62,6.05,-11.93,-1.21,-0.66498668,0.193713822
吴旗,108.125,36.625,2004,1,0.176,14.16,-7.36,5.05,4.65,-15.17,-1.97,0.083225221,0.187079181
吴旗,108.125,36.625,2004,2,0.168,11.83,-1.97,5.72,7.87,-11.17,6.76,-0.508497682,1.012899426
吴旗,108.125,36.625,2004,3,0.168,12.39,3.32,8.01,11.2,-5.96,11.82,-0.533808205,0.724533576
吴旗,108.125,36.625,2004,4,0.199,12.08,12.86,16.3,4.67,2.9,21.28,-0.728923272,2.147986601
吴旗,108.125,36.625,2004,5,0.286,15.9,14.65,53.85,22.36,1.23,21.09,0.35651471,0.268920017
吴旗,108.125,36.625,2004,6,0.345,19.02,18.77,71.81,48.69,10.86,25.68,-0.01964244,-0.363854006
吴旗,108.125,36.625,2004,7,0.435,20.0,20.8,79.26,74.29,14.5,24.74,-0.520982663,-0.23021963
吴旗,108.125,36.625,2004,8,0.494,21.84,19.28,68.67,97.57,13.46,23.95,-0.142958073,-0.225747353
吴旗,108.125,36.625,2004,9,0.522,22.24,14.16,51.15,75.66,3.74,21.21,0.274854638,0.223693826
吴旗,108.125,36.625,2004,10,0.451,22.62,6.8,34.16,22.73,0.83,12.42,-0.645906024,-0.740661532
吴旗,108.125,36.625,2004,11,0.223,19.39,0.5,17.7,9.33,-12.86,9.08,-0.627821551,0.105940783
吴旗,108.125,36.625,2004,12,0.164,14.3,-4.9,5.63,3.94,-20.52,2.17,1.49742518,0.836429324
