参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
商州,109.625,33.625,2001,1,0.317,20.94,-3.07,12.78,23.97,-7.21,1.98,1.229659676,-0.591923308
商州,109.625,33.625,2001,2,0.309,24.85,0.45,21.07,10.87,-4.56,7.17,0.444061912,0.655838192
商州,109.625,33.625,2001,3,0.333,19.03,6.39,33.91,13.2,-2.31,14.01,-1.648049706,1.108987259
商州,109.625,33.625,2001,4,0.404,22.05,11.62,61.53,52.8,-0.3,19.85,0.165987369,-0.883534785
商州,109.625,33.625,2001,5,0.589,20.47,17.62,100.22,36.95,8.36,22.89,-0.490204285,0.918440576
商州,109.625,33.625,2001,6,0.727,21.41,20.37,102.15,97.04,14.67,24.32,0.550921204,0.281182978
商州,109.625,33.625,2001,7,0.794,20.06,23.51,111.65,108.63,17.58,26.45,-1.296762363,1.156743374
商州,109.625,33.625,2001,8,0.829,21.96,19.98,80.77,75.86,13.17,24.76,-0.608277913,-0.708133512
商州,109.625,33.625,2001,9,0.802,23.25,15.48,47.53,69.23,10.32,20.33,-0.707547185,-0.268905526
商州,109.625,33.625,2001,10,0.632,24.08,11.18,27.84,75.85,6.92,15.32,0.11174094,0.866341126
商州,109.625,33.625,2001,11,0.435,22.02,3.7,15.67,8.76,-3.07,7.46,-1.576728774,0.546265182
商州,109.625,33.625,2001,12,0.404,21.77,-3.92,17.02,26.13,-9.89,2.21,1.910024192,-2.804049365
商州,109.625,33.625,2002,1,0.341,23.26,-0.35,19.56,15.99,-5.14,6.17,0.308706281,1.25507441
商州,109.625,33.625,2002,2,0.286,22.23,2.4,15.7,13.87,-3.79,6.9,-0.056305659,1.346622571
商州,109.625,33.625,2002,3,0.313,20.55,6.62,27.47,27.73,-4.13,14.47,0.49206767,1.167170215
商州,109.625,33.625,2002,4,0.644,23.32,10.16,47.73,69.85,2.44,19.22,-0.093722509,-0.342002151
商州,109.625,33.625,2002,5,0.727,27.23,14.01,79.74,131.35,7.4,23.32,0.517763151,-0.912659479
商州,109.625,33.625,2002,6,0.79,25.75,21.58,124.76,143.71,15.57,25.31,1.448290335,1.497754961
商州,109.625,33.625,2002,7,0.817,22.96,22.85,135.01,64.49,17.18,27.67,-1.04394837,0.64127122
商州,109.625,33.625,2002,8,0.794,24.22,20.4,92.61,85.18,14.07,25.96,0.28011612,-0.499996944
商州,109.625,33.625,2002,9,0.778,22.09,16.15,64.93,85.03,10.51,24.7,-0.398456985,0.327619692
商州,109.625,33.625,2002,10,0.632,23.92,11.62,50.87,69.6,2.82,19.15,-0.023985595,0.875038046
商州,109.625,33.625,2002,11,0.455,23.03,4.43,23.06,28.61,-3.03,9.64,-1.518996177,0.313483119
商州,109.625,33.625,2002,12,0.4,24.29,-2.74,10.14,18.59,-15.22,5.7,1.711629294,-1.660734458
商州,109.625,33.625,2003,1,0.341,20.53,-2.23,12.89,17.66,-10.84,3.4,0.250967429,-0.638885642
商州,109.625,33.625,2003,2,0.329,23.95,1.13,17.55,20.5,-4.58,6.4,0.29223546,0.849552035
商州,109.625,33.625,2003,3,0.349,22.51,4.38,29.15,20.16,-7.57,18.68,0.360042131,-0.411491545
商州,109.625,33.625,2003,4,0.624,24.1,10.17,50.22,60.02,4.92,21.14,-0.14808543,-0.29025621
商州,109.625,33.625,2003,5,0.758,25.1,15.39,82.91,82.95,10.71,20.21,-0.674074992,0.297197477
商州,109.625,33.625,2003,6,0.802,23.44,19.66,117.71,83.4,11.4,23.36,-0.36174409,1.026836329
商州,109.625,33.625,2003,7,0.782,27.26,21.09,96.21,159.67,14.33,25.8,0.248593974,-0.311747866
商州,109.625,33.625,2003,8,0.782,29.63,19.3,63.51,250.3,12.14,23.53,1.502706447,-1.194307432
商州,109.625,33.625,2003,9,0.786,31.12,16.66,66.32,174.85,9.8,20.49,1.116825053,1.076823677
商州,109.625,33.625,2003,10,0.64,30.1,9.47,42.11,115.29,4.86,13.94,0.506065958,-0.583142392
商州,109.625,33.625,2003,11,0.483,29.14,3.08,21.8,48.1,-2.68,13.65,0.859758897,-0.88059985
商州,109.625,33.625,2003,12,0.388,27.77,-1.88,22.41,19.37,-6.41,0.94,0.296579721,0.092545758
商州,109.625,33.625,2004,1,0.361,19.55,-3.53,17.25,22.73,-10.1,0.38,0.07518718,0.432463433
商州,109.625,33.625,2004,2,0.337,19.47,2.19,18.57,36.09,-5.9,10.24,1.146782278,1.23199209
商州,109.625,33.625,2004,3,0.361,24.95,5.67,39.91,25.55,-0.82,14.77,0.269897344,0.713815224
商州,109.625,33.625,2004,4,0.605,23.08,13.05,63.23,27.56,5.8,22.18,-0.728283877,1.957144662
商州,109.625,33.625,2004,5,0.762,22.54,15.57,96.84,68.7,5.32,21.53,-0.134181129,0.560008566
商州,109.625,33.625,2004,6,0.802,20.93,19.05,101.15,79.39,10.21,24.81,-0.076416389,-0.42945846
商州,109.625,33.625,2004,7,0.802,23.79,21.5,111.84,133.4,17.09,24.41,-0.678661611,0.516849602
商州,109.625,33.625,2004,8,0.829,25.63,19.48,67.2,103.88,14.43,23.99,0.485175871,-0.922923363
商州,109.625,33.625,2004,9,0.786,26.76,15.44,61.09,127.25,6.73,21.42,0.670983701,-0.359493233
商州,109.625,33.625,2004,10,0.589,26.87,9.12,37.15,35.71,4.02,14.27,-0.770239411,-0.637730809
商州,109.625,33.625,2004,11,0.471,26.52,4.37,18.03,42.6,-5.6,12.24,0.225149846,0.514147956
商州,109.625,33.625,2004,12,0.365,23.92,-1.32,10.79,20.0,-13.56,6.65,1.477487879,0.603727127
商州,109.625,33.625,2005,1,0.306,25.91,-4.01,21.63,7.39,-9.27,-0.79,-0.846162027,0.270317541
商州,109.625,33.625,2005,2,0.278,21.85,-2.81,15.26,21.46,-10.55,4.59,-0.072611761,-0.321170889
商州,109.625,33.625,2005,3,0.341,22.0,4.85,35.45,16.16,-4.37,11.87,-1.167217856,0.416137927
商州,109.625,33.625,2005,4,0.77,21.17,13.75,64.89,37.63,3.3,21.33,-1.19753476,2.12514862
商州,109.625,33.625,2005,5,0.735,21.15,15.35,69.97,65.38,10.24,19.5,-1.094765872,0.669908401
商州,109.625,33.625,2005,6,0.786,23.5,20.64,120.24,108.12,12.46,24.21,0.666281549,2.083791986
商州,109.625,33.625,2005,7,0.813,25.74,21.25,97.33,136.02,18.39,24.07,0.449441251,-0.122244418
商州,109.625,33.625,2005,8,0.817,28.41,18.05,73.74,168.74,10.61,24.14,2.21038358,-1.954859237
商州,109.625,33.625,2005,9,0.798,27.85,16.41,74.35,123.53,11.18,21.24,-0.094343133,0.877746425
商州,109.625,33.625,2005,10,0.699,29.47,9.24,41.34,85.7,5.11,12.32,0.260200453,-0.610078618
商州,109.625,33.625,2005,11,0.475,27.34,6.18,26.53,28.57,1.07,10.91,-1.764934927,1.180277463
商州,109.625,33.625,2005,12,0.384,19.31,-2.39,13.36,2.4,-6.79,0.92,-1.298222364,-0.135073062
商州,109.625,33.625,2006,1,0.337,16.26,-2.59,8.16,18.29,-9.55,1.77,0.659958181,0.549781134
