参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
固原,106.125,36.125,2001,1,0.109,12.74,-8.17,6.61,10.64,-14.64,-2.94,1.114179126,0.98385837
固原,106.125,36.125,2001,2,0.109,15.34,-4.62,6.17,8.69,-9.25,2.25,0.82706012,0.914982568
固原,106.125,36.125,2001,3,0.109,12.11,-0.05,5.75,2.82,-10.35,9.73,-3.07120617,0.763289975
固原,106.125,36.125,2001,4,0.12,15.54,7.35,20.95,25.82,-6.55,15.74,0.644849905,-0.327521864
固原,106.125,36.125,2001,5,0.16,16.41,13.79,45.75,16.69,6.49,20.5,-1.919337104,1.376334059
固原,106.125,36.125,2001,6,0.176,17.91,18.27,69.05,51.76,12.87,23.12,-0.166668144,1.472109034
固原,106.125,36.125,2001,7,0.172,17.99,20.54,69.99,71.37,13.81,24.66,-0.407545104,1.433489363
固原,106.125,36.125,2001,8,0.199,19.98,17.55,52.37,76.95,11.9,24.18,-0.105459517,1.074754834
固原,106.125,36.125,2001,9,0.243,26.03,12.01,35.04,100.8,7.11,17.11,1.284798638,-0.166900911
固原,106.125,36.125,2001,10,0.183,24.46,8.07,22.09,25.21,2.88,12.16,0.312999701,1.425520682
固原,106.125,36.125,2001,11,0.176,19.93,0.04,13.1,3.73,-5.42,7.81,-0.404647971,0.954276636
固原,106.125,36.125,2001,12,0.144,16.06,-7.38,10.27,9.05,-16.66,-2.38,1.115342944,0.259093769
固原,106.125,36.125,2002,1,0.12,12.73,-6.12,5.36,5.4,-13.32,1.63,0.624797847,1.634660055
固原,106.125,36.125,2002,2,0.124,12.17,-1.67,3.24,6.91,-7.96,2.95,-0.273883773,1.377501595
固原,106.125,36.125,2002,3,0.191,13.07,3.12,9.06,10.72,-5.06,12.23,0.34634882,1.18950183
固原,106.125,36.125,2002,4,0.199,17.99,7.6,30.66,29.68,-2.14,17.8,-0.014453456,0.118365442
固原,106.125,36.125,2002,5,0.223,23.35,11.89,50.92,65.47,3.98,20.26,0.756483323,-0.559477205
固原,106.125,36.125,2002,6,0.309,20.77,19.31,84.77,70.8,11.3,23.47,1.71525959,1.99410439
固原,106.125,36.125,2002,7,0.29,18.71,20.56,84.51,45.91,15.32,25.45,-0.367828859,0.55239812
固原,106.125,36.125,2002,8,0.243,19.18,18.38,54.38,37.33,12.71,25.63,-0.601996808,0.31181737
固原,106.125,36.125,2002,9,0.211,19.27,13.04,29.43,60.8,5.1,23.32,-0.334363485,0.632212064
固原,106.125,36.125,2002,10,0.172,18.88,7.49,21.31,36.09,-0.46,14.6,0.198627621,0.56870746
固原,106.125,36.125,2002,11,0.168,17.04,1.15,11.67,5.49,-3.37,6.74,-1.455243154,0.793879642
固原,106.125,36.125,2002,12,0.172,15.14,-6.65,6.0,6.54,-20.33,1.73,1.759085603,-0.241143247
固原,106.125,36.125,2003,1,0.136,13.15,-5.76,3.39,6.56,-14.27,2.04,1.051912446,0.489294799
固原,106.125,36.125,2003,2,0.124,13.29,-1.16,5.14,4.96,-10.66,5.43,0.255650742,1.058945607
固原,106.125,36.125,2003,3,0.124,15.36,2.11,12.77,20.76,-8.03,15.74,1.003630372,0.405412222
固原,106.125,36.125,2003,4,0.168,17.65,7.94,26.74,24.09,0.92,16.61,-0.310871125,-0.069072648
固原,106.125,36.125,2003,5,0.215,20.98,12.76,48.65,68.1,5.55,18.71,1.245298984,0.306451494
固原,106.125,36.125,2003,6,0.286,19.18,18.02,81.72,48.13,11.5,22.75,-0.764209947,0.680702058
固原,106.125,36.125,2003,7,0.282,21.25,19.37,76.6,84.61,13.48,23.88,0.616471932,-0.144776486
固原,106.125,36.125,2003,8,0.27,21.86,17.48,50.32,86.98,11.47,21.4,1.642880538,-0.798994412
固原,106.125,36.125,2003,9,0.246,25.82,13.89,47.4,104.45,5.13,19.2,0.651808766,0.970147479
固原,106.125,36.125,2003,10,0.231,25.77,6.94,32.38,46.22,2.0,12.02,1.36828065,-0.25788686
固原,106.125,36.125,2003,11,0.203,22.81,-0.37,14.75,16.03,-9.65,8.81,0.753082024,-0.039725878
固原,106.125,36.125,2003,12,0.168,19.66,-5.36,14.39,6.73,-11.8,-1.25,-0.357393814,0.574605542
固原,106.125,36.125,2004,1,0.132,13.97,-6.46,3.37,3.73,-14.4,-0.61,0.18950261,0.558945022
固原,106.125,36.125,2004,2,0.12,11.89,-2.0,4.13,8.28,-10.96,5.93,-0.296641223,0.902096762
固原,106.125,36.125,2004,3,0.124,13.1,2.98,7.58,12.78,-7.25,10.8,-0.271511386,0.570589465
固原,106.125,36.125,2004,4,0.168,13.76,11.52,15.46,7.63,2.05,19.14,-2.355220352,2.089672236
固原,106.125,36.125,2004,5,0.199,17.99,12.69,48.61,33.37,-1.07,19.27,-0.251943214,-0.139573621
固原,106.125,36.125,2004,6,0.25,18.96,17.02,66.09,35.18,9.46,23.32,0.24281756,0.168621713
固原,106.125,36.125,2004,7,0.309,19.79,19.07,68.82,73.53,11.98,23.85,0.132881709,-0.152348643
固原,106.125,36.125,2004,8,0.29,20.76,18.04,51.08,76.28,10.85,22.09,0.506623956,0.032011015
固原,106.125,36.125,2004,9,0.243,23.19,13.18,39.51,81.13,2.19,20.23,0.864676757,0.349916985
固原,106.125,36.125,2004,10,0.207,23.94,6.41,29.05,21.75,0.29,11.51,-0.795606544,-0.38851193
固原,106.125,36.125,2004,11,0.183,21.04,0.36,17.18,10.21,-11.43,8.93,-0.471589062,0.235164051
固原,106.125,36.125,2004,12,0.164,15.69,-3.78,7.88,7.77,-18.44,3.76,1.534467305,0.91216081
固原,106.125,36.125,2005,1,0.136,14.15,-6.7,7.22,5.21,-13.35,-0.97,-0.197572287,0.119591966
固原,106.125,36.125,2005,2,0.117,13.53,-4.65,6.5,10.36,-17.37,2.37,0.555377618,-0.150048004
固原,106.125,36.125,2005,3,0.12,14.41,2.19,9.59,13.71,-7.15,9.73,-0.135217163,0.119003794
固原,106.125,36.125,2005,4,0.144,16.67,10.3,25.28,16.81,0.37,18.61,-0.846041508,0.95536657
