参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
岷县,104.125,34.375,2001,1,0.16,13.88,-8.68,7.2,8.85,-14.81,-2.09,0.090491803,0.034333579
岷县,104.125,34.375,2001,2,0.148,13.62,-5.54,5.52,9.85,-10.48,0.56,0.07117205,0.223834278
岷县,104.125,34.375,2001,3,0.152,13.9,-1.36,8.4,15.99,-7.0,5.83,-1.277796823,-0.230376571
岷县,104.125,34.375,2001,4,0.187,19.9,4.19,31.73,62.03,-9.06,11.62,1.465039341,-0.280539264
岷县,104.125,34.375,2001,5,0.254,24.45,8.56,76.0,66.43,3.07,15.39,-1.689674175,-0.67378709
岷县,104.125,34.375,2001,6,0.357,22.99,13.01,98.59,70.67,5.14,18.69,0.331889625,0.447675851
岷县,104.125,34.375,2001,7,0.557,19.77,17.06,116.31,83.65,12.41,20.25,0.274389862,1.066920844
岷县,104.125,34.375,2001,8,0.506,18.48,13.95,83.02,67.12,8.33,18.06,1.186261626,-0.375121991
岷县,104.125,34.375,2001,9,0.431,25.21,10.53,51.31,170.12,6.37,15.45,0.725761994,0.749249051
岷县,104.125,34.375,2001,10,0.333,25.47,6.27,36.31,45.85,2.31,9.65,0.299676052,1.802120708
岷县,104.125,34.375,2001,11,0.227,21.47,-0.96,19.89,17.01,-3.3,4.98,0.50421661,0.428691406
岷县,104.125,34.375,2001,12,0.176,14.93,-7.17,5.6,7.36,-16.22,-2.27,1.141942176,-0.334289373
岷县,104.125,34.375,2002,1,0.16,12.35,-7.54,7.47,10.08,-13.77,1.86,0.963806633,0.053850612
岷县,104.125,34.375,2002,2,0.16,11.81,-3.57,5.14,6.17,-14.25,3.52,-1.42049136,1.058889924
岷县,104.125,34.375,2002,3,0.168,16.96,0.18,19.1,30.28,-8.09,7.89,0.52540591,1.141021333
岷县,104.125,34.375,2002,4,0.207,21.52,6.39,47.54,47.97,-0.21,14.9,-2.108028899,1.008650569
岷县,104.125,34.375,2002,5,0.313,26.4,8.09,67.65,116.14,2.04,13.57,1.999584192,-0.483571737
岷县,104.125,34.375,2002,6,0.502,25.37,14.18,107.07,101.18,8.35,19.22,-0.273676372,2.089596557
岷县,104.125,34.375,2002,7,0.573,21.27,15.78,128.32,54.39,10.2,19.71,-0.945947006,0.393040964
岷县,104.125,34.375,2002,8,0.487,19.28,14.54,92.17,49.07,10.25,20.02,-0.854529289,-0.294503601
岷县,104.125,34.375,2002,9,0.404,18.26,10.21,44.76,62.02,2.96,17.55,-0.489352443,0.080334466
岷县,104.125,34.375,2002,10,0.266,19.66,4.57,28.54,46.34,-4.76,11.2,-0.429529597,0.017217541
岷县,104.125,34.375,2002,11,0.195,18.29,-1.58,18.29,16.94,-6.15,2.72,-0.322524431,0.148588635
岷县,104.125,34.375,2002,12,0.16,14.97,-6.34,9.71,8.58,-15.76,0.46,1.436419275,-0.404405725
岷县,104.125,34.375,2003,1,0.16,13.0,-6.33,4.96,7.53,-12.17,-0.05,-0.048927744,-0.178334375
