参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
平凉,106.625,35.625,2001,1,0.152,14.64,-7.11,7.92,14.38,-13.24,-2.43,1.237078875,1.083837495
平凉,106.625,35.625,2001,2,0.136,19.16,-3.26,9.04,10.76,-8.71,3.23,1.407428834,0.959904917
平凉,106.625,35.625,2001,3,0.156,13.9,1.57,10.39,3.96,-7.87,9.15,-3.172294458,1.016812405
平凉,106.625,35.625,2001,4,0.207,18.08,8.33,30.69,27.3,-3.97,16.57,0.11190906,-0.251984676
平凉,106.625,35.625,2001,5,0.282,18.16,14.94,67.32,24.92,9.1,21.22,-1.944348765,1.686260732
平凉,106.625,35.625,2001,6,0.302,19.17,18.57,68.76,62.94,12.9,23.26,-0.435729602,1.430467596
平凉,106.625,35.625,2001,7,0.282,18.53,21.44,69.3,78.78,14.72,24.78,-0.327119697,2.008543143
平凉,106.625,35.625,2001,8,0.302,21.12,18.3,56.41,81.01,11.31,24.37,0.010171356,0.66720305
平凉,106.625,35.625,2001,9,0.357,27.04,12.7,33.91,113.42,6.99,17.35,1.275418208,-0.157439154
平凉,106.625,35.625,2001,10,0.286,25.83,8.96,24.13,28.58,3.73,12.41,0.21706778,1.305133207
平凉,106.625,35.625,2001,11,0.262,22.39,1.35,16.85,5.55,-4.22,8.18,-0.966867689,0.872868843
平凉,106.625,35.625,2001,12,0.195,19.63,-5.9,14.41,12.58,-13.98,-0.96,1.17461556,0.375547455
平凉,106.625,35.625,2002,1,0.172,14.63,-4.19,7.15,6.75,-11.47,3.01,0.918864569,1.894757472
平凉,106.625,35.625,2002,2,0.168,13.55,-0.4,3.42,7.09,-6.58,4.09,-0.618245338,1.338446192
平凉,106.625,35.625,2002,3,0.294,16.02,4.63,17.34,15.2,-2.77,12.63,-0.453726127,1.309536149
平凉,106.625,35.625,2002,4,0.254,20.83,8.69,44.33,39.63,0.08,19.51,0.417305118,0.242521185
