参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
延安,109.625,36.625,2001,1,0.097,13.71,-5.83,11.75,19.34,-13.69,-1.83,1.441574291,1.110841506
延安,109.625,36.625,2001,2,0.12,19.09,-1.48,17.32,16.95,-9.13,5.17,1.559773587,0.843070249
延安,109.625,36.625,2001,3,0.12,13.2,3.82,10.7,3.31,-7.47,10.36,-2.070592379,0.55998101
延安,109.625,36.625,2001,4,0.124,15.7,11.14,30.62,27.68,-0.19,19.95,0.120932764,-0.108614052
延安,109.625,36.625,2001,5,0.195,13.76,18.53,63.76,11.9,13.07,24.53,-1.510084504,1.62124142
延安,109.625,36.625,2001,6,0.235,15.22,22.59,62.31,43.45,16.84,28.27,-1.120802407,1.583878101
延安,109.625,36.625,2001,7,0.282,16.15,24.43,66.23,87.97,16.19,28.05,0.40907658,2.044806866
延安,109.625,36.625,2001,8,0.471,19.69,21.17,64.35,89.61,14.62,26.93,-0.645749155,0.390806889
延安,109.625,36.625,2001,9,0.471,24.58,15.34,45.76,117.2,8.38,20.13,1.322444425,-0.243074308
延安,109.625,36.625,2001,10,0.365,24.0,10.61,25.6,31.97,3.86,14.99,1.092418461,1.173433061
延安,109.625,36.625,2001,11,0.199,20.24,1.93,15.62,7.19,-6.84,7.52,-0.259873025,0.370528485
延安,109.625,36.625,2001,12,0.144,20.84,-6.38,18.99,19.5,-13.47,-0.58,0.426807564,-0.051098417
延安,109.625,36.625,2002,1,0.14,15.19,-2.42,5.72,6.76,-8.24,4.85,-0.055922574,2.169434871
延安,109.625,36.625,2002,2,0.128,12.76,0.87,4.42,7.33,-5.1,4.83,-0.209602043,1.384479073
延安,109.625,36.625,2002,3,0.136,15.29,6.25,16.74,12.88,-0.88,14.21,0.2417138,1.15631132
延安,109.625,36.625,2002,4,0.227,17.57,10.66,35.47,29.2,-0.15,20.9,-0.284008341,0.13841617
延安,109.625,36.625,2002,5,0.254,21.09,15.74,64.89,50.5,8.38,25.22,0.489443516,-0.414301316
延安,109.625,36.625,2002,6,0.325,21.2,22.54,92.15,118.01,15.97,26.55,1.635807615,1.572154944
延安,109.625,36.625,2002,7,0.408,20.93,24.11,102.16,76.55,17.65,30.1,-1.059225169,0.724988703
延安,109.625,36.625,2002,8,0.439,19.77,21.88,81.39,46.27,17.08,28.18,-1.028000258,0.825922408
延安,109.625,36.625,2002,9,0.384,19.27,16.27,45.05,64.81,9.16,27.27,0.063346326,0.302719375
延安,109.625,36.625,2002,10,0.27,17.74,10.18,28.6,28.93,0.7,19.17,0.307429144,0.623728423
延安,109.625,36.625,2002,11,0.183,14.76,2.04,9.88,5.16,-4.98,8.35,-1.655668757,0.561671719
延安,109.625,36.625,2002,12,0.168,17.35,-6.97,11.34,14.87,-21.23,3.53,2.198754019,-0.788589413
延安,109.625,36.625,2003,1,0.128,15.49,-7.7,3.93,3.34,-20.85,-0.11,0.325508742,-0.147435407
延安,109.625,36.625,2003,2,0.128,14.14,-0.04,7.35,13.69,-9.17,6.59,0.239749855,0.940164392
延安,109.625,36.625,2003,3,0.136,18.24,3.97,21.9,33.39,-6.23,19.03,0.702257522,0.172599659
