参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
武功,108.125,34.375,2001,1,0.325,23.68,-0.16,17.51,26.62,-4.98,3.52,1.07922158,0.613392925
武功,108.125,34.375,2001,2,0.376,24.64,3.98,19.86,11.33,-1.11,9.49,0.924497235,0.782867988
武功,108.125,34.375,2001,3,0.502,17.15,9.32,57.86,10.28,0.31,15.98,-2.036781401,1.25600038
武功,108.125,34.375,2001,4,0.569,17.99,14.87,79.74,44.16,2.96,22.29,-0.122807049,-0.320654806
武功,108.125,34.375,2001,5,0.624,15.08,21.43,94.21,33.92,12.67,26.53,-2.025144844,1.489468314
武功,108.125,34.375,2001,6,0.27,18.55,24.39,57.89,80.91,18.63,28.3,-0.297800671,0.912138468
武功,108.125,34.375,2001,7,0.648,18.35,27.83,65.64,88.71,21.37,31.55,-0.804637138,1.78670823
武功,108.125,34.375,2001,8,0.62,19.67,24.33,68.84,69.71,17.09,29.88,-0.03874574,0.332286837
武功,108.125,34.375,2001,9,0.589,25.66,18.88,35.49,111.76,11.71,24.23,0.598658191,-0.248989822
武功,108.125,34.375,2001,10,0.372,25.18,15.01,22.75,48.22,10.64,18.4,0.720888388,1.183800949
武功,108.125,34.375,2001,11,0.412,23.13,7.45,20.65,10.11,1.41,11.78,-1.132836328,0.613200316
武功,108.125,34.375,2001,12,0.372,23.3,0.12,17.0,20.06,-6.01,5.12,1.815069124,-0.529798619
武功,108.125,34.375,2002,1,0.396,20.62,3.29,15.67,11.43,-2.48,9.53,0.525222018,1.875279374
武功,108.125,34.375,2002,2,0.451,19.17,6.26,15.26,8.46,1.64,10.59,-0.593221405,1.242497685
武功,108.125,34.375,2002,3,0.506,19.76,11.22,48.25,26.38,1.8,18.33,0.072265231,1.367686936
武功,108.125,34.375,2002,4,0.624,19.97,14.45,77.97,47.42,6.63,23.24,-0.573407213,0.449457323
武功,108.125,34.375,2002,5,0.628,22.27,18.27,74.75,86.0,12.34,25.78,0.10464304,-0.405494763
武功,108.125,34.375,2002,6,0.526,23.03,25.46,84.97,124.02,21.22,28.57,0.982135715,2.051334279
武功,108.125,34.375,2002,7,0.565,20.32,26.47,85.54,51.99,21.49,31.88,-1.914105872,1.524036022
武功,108.125,34.375,2002,8,0.569,23.03,24.26,82.08,75.3,18.08,30.85,-0.238664902,0.09705052
武功,108.125,34.375,2002,9,0.526,20.53,20.06,53.56,73.97,13.52,28.29,-1.084180865,0.524885844
武功,108.125,34.375,2002,10,0.282,22.25,15.63,36.31,50.68,8.01,22.71,-0.335855996,1.173425965
武功,108.125,34.375,2002,11,0.372,20.72,8.81,22.07,20.92,3.51,14.27,-1.284764943,0.598676861
武功,108.125,34.375,2002,12,0.392,22.18,0.38,11.76,19.31,-13.9,9.88,1.287359633,-0.486923495
武功,108.125,34.375,2003,1,0.309,21.33,0.84,11.12,19.09,-10.28,7.15,0.544969247,0.552181248
武功,108.125,34.375,2003,2,0.439,22.71,6.17,22.29,22.89,-0.25,12.58,0.077316364,0.873152423
武功,108.125,34.375,2003,3,0.471,20.59,9.77,44.49,18.72,-1.13,23.01,1.419444839,-0.181396946
武功,108.125,34.375,2003,4,0.624,19.67,15.26,73.17,42.96,7.79,25.84,-0.733706598,-0.15223339
武功,108.125,34.375,2003,5,0.624,20.06,20.82,88.97,71.6,13.64,26.95,0.268099952,0.890244679
武功,108.125,34.375,2003,6,0.514,19.4,25.13,75.35,78.89,18.41,29.56,-0.753908408,1.233162697
武功,108.125,34.375,2003,7,0.369,23.41,26.41,82.8,110.88,20.51,31.2,0.141300077,-0.240776023
武功,108.125,34.375,2003,8,0.569,26.47,24.15,60.57,210.49,16.65,29.48,1.007364439,-1.291401161
武功,108.125,34.375,2003,9,0.609,28.88,21.17,56.48,142.61,11.85,25.66,1.173252679,0.756225776
武功,108.125,34.375,2003,10,0.329,28.96,13.83,33.38,94.08,8.75,18.38,0.556655007,-0.554726892
武功,108.125,34.375,2003,11,0.243,27.42,7.17,18.74,28.42,1.21,16.97,0.49650612,-0.663186716
武功,108.125,34.375,2003,12,0.471,24.03,1.72,17.64,17.76,-4.27,5.44,0.396921887,0.334111454
武功,108.125,34.375,2004,1,0.239,21.43,0.41,17.82,9.61,-7.71,5.7,-0.009968097,0.486371761
武功,108.125,34.375,2004,2,0.278,18.54,6.28,25.73,25.7,-2.49,14.85,-0.383477708,1.05740666
武功,108.125,34.375,2004,3,0.447,21.79,10.59,47.96,22.52,3.22,18.63,0.031306694,0.986977807
武功,108.125,34.375,2004,4,0.613,19.26,18.63,97.35,24.09,10.08,27.19,-1.525636104,2.251874793
武功,108.125,34.375,2004,5,0.695,16.11,21.0,95.18,56.24,8.01,26.62,0.041810235,0.933418167
武功,108.125,34.375,2004,6,0.254,17.34,24.85,55.36,67.75,14.89,31.52,-0.389943166,0.474328036
武功,108.125,34.375,2004,7,0.557,20.72,26.89,71.15,95.41,19.35,30.52,-0.367264324,0.390338982
武功,108.125,34.375,2004,8,0.624,23.38,25.0,68.84,114.04,19.39,29.95,-0.126464559,-0.269277511
武功,108.125,34.375,2004,9,0.624,24.5,19.97,47.12,115.29,10.31,27.17,0.471228613,0.067441782
武功,108.125,34.375,2004,10,0.42,26.06,13.58,32.12,37.78,7.84,18.34,-0.408276632,-0.572279973
武功,108.125,34.375,2004,11,0.416,26.05,8.0,22.67,47.6,-3.58,16.26,0.097283256,0.06596239
武功,108.125,34.375,2004,12,0.498,23.6,2.84,13.13,20.55,-10.75,10.35,1.790351659,0.651503323
武功,108.125,34.375,2005,1,0.369,27.76,-0.27,18.91,4.47,-5.83,2.36,-1.013882457,-0.039075187
武功,108.125,34.375,2005,2,0.376,22.95,2.4,20.31,28.8,-5.62,10.15,0.506677815,-0.423223204
武功,108.125,34.375,2005,3,0.506,20.65,9.72,54.09,12.02,-0.43,17.47,-1.352364999,0.366513989
武功,108.125,34.375,2005,4,0.676,17.23,18.76,99.62,27.47,8.75,26.11,-1.900658225,2.430148783
武功,108.125,34.375,2005,5,0.683,14.33,21.27,70.58,69.85,16.87,26.38,-0.495275669,1.430843194
