参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
洛川,109.625,35.875,2001,1,0.211,268.16,-6.54,10.14,21.34,-13.51,-2.92,1.534990282,0.524185052
洛川,109.625,35.875,2001,2,0.254,271.97,-1.98,21.08,17.66,-9.32,4.41,1.817316137,0.736365799
洛川,109.625,35.875,2001,3,0.219,278.73,3.69,14.79,3.83,-6.84,10.61,-2.423432026,0.819823152
洛川,109.625,35.875,2001,4,0.337,284.45,10.28,39.11,28.26,-1.39,18.15,0.098015376,-0.41333078
洛川,109.625,35.875,2001,5,0.522,290.85,17.66,81.87,17.79,12.69,22.1,-1.851691445,1.636541586
洛川,109.625,35.875,2001,6,0.565,294.23,21.28,67.24,53.22,16.41,26.92,-1.03730226,1.568260286
洛川,109.625,35.875,2001,7,0.636,297.02,23.66,72.3,96.55,16.35,27.65,-0.661535522,2.073368649
洛川,109.625,35.875,2001,8,0.668,293.78,20.1,66.35,78.72,13.74,26.54,-0.490012883,0.201720371
洛川,109.625,35.875,2001,9,0.632,287.68,14.46,45.96,114.75,7.1,19.9,1.126513456,-0.14358402
洛川,109.625,35.875,2001,10,0.514,283.43,9.79,28.67,31.02,4.51,13.66,0.524109032,1.08284403
洛川,109.625,35.875,2001,11,0.337,276.24,1.58,15.38,7.56,-6.44,5.71,-0.429602377,0.398964975
洛川,109.625,35.875,2001,12,0.243,268.06,-6.2,21.93,25.17,-12.23,-0.47,0.892351756,-0.214957009
洛川,109.625,35.875,2002,1,0.25,271.42,-2.29,10.3,7.82,-7.7,3.96,0.277898715,2.077553954
洛川,109.625,35.875,2002,2,0.231,274.31,0.45,6.24,8.21,-5.3,4.98,-0.226183288,1.535023725
洛川,109.625,35.875,2002,3,0.227,280.17,5.84,21.21,17.33,-1.8,12.71,0.505855204,1.258829491
洛川,109.625,35.875,2002,4,0.628,284.21,9.83,44.87,38.78,0.3,18.59,-0.403294465,0.096549261
洛川,109.625,35.875,2002,5,0.609,287.6,14.45,73.82,64.19,7.05,23.57,0.276307441,-0.498058298
洛川,109.625,35.875,2002,6,0.644,294.22,21.2,101.31,109.31,15.94,24.67,1.353999686,1.830286376
洛川,109.625,35.875,2002,7,0.699,295.98,23.11,101.61,68.64,16.5,29.48,-1.373005236,1.103131762
洛川,109.625,35.875,2002,8,0.715,294.42,20.5,69.7,55.34,15.77,26.75,-0.656408971,0.821890356
洛川,109.625,35.875,2002,9,0.64,289.42,15.34,44.05,65.46,8.54,25.11,-0.074457474,0.626322462
洛川,109.625,35.875,2002,10,0.479,284.44,9.8,31.99,39.3,1.54,18.73,0.271583771,0.918638073
洛川,109.625,35.875,2002,11,0.341,276.49,1.94,10.88,3.45,-4.26,8.31,-1.675318662,0.578736393
洛川,109.625,35.875,2002,12,0.302,268.78,-6.77,14.11,27.41,-20.07,2.3,1.858967047,-1.017070919
洛川,109.625,35.875,2003,1,0.235,267.13,-6.95,13.32,8.98,-18.25,0.08,0.81122692,-0.193250287
洛川,109.625,35.875,2003,2,0.227,273.19,-0.56,14.26,20.69,-7.4,5.18,0.385752957,0.836327057
洛川,109.625,35.875,2003,3,0.243,276.93,2.88,28.77,25.27,-7.65,16.86,0.228089607,-0.075219742
洛川,109.625,35.875,2003,4,0.498,283.47,8.93,32.29,28.62,0.08,20.15,0.36199272,-0.316990081
洛川,109.625,35.875,2003,5,0.609,288.69,14.77,57.17,45.43,7.72,20.98,0.168960208,0.473805852
洛川,109.625,35.875,2003,6,0.683,292.66,19.0,88.02,90.4,12.45,24.0,0.375708789,0.550781744
洛川,109.625,35.875,2003,7,0.731,293.56,20.45,85.7,112.08,14.07,25.13,0.235640638,-0.674222115
洛川,109.625,35.875,2003,8,0.715,291.76,18.31,59.44,150.49,12.26,23.26,1.660963206,-1.422588663
洛川,109.625,35.875,2003,9,0.683,288.81,15.54,61.08,172.63,5.97,20.64,0.93245235,0.92517712
洛川,109.625,35.875,2003,10,0.557,281.5,7.97,39.39,77.86,1.99,12.76,1.210101242,-0.601228987
洛川,109.625,35.875,2003,11,0.333,274.72,0.49,19.04,26.94,-6.11,12.08,1.251512544,-0.501252034
洛川,109.625,35.875,2003,12,0.274,269.44,-4.76,22.97,7.78,-9.66,-0.94,0.392457206,0.042698019
洛川,109.625,35.875,2004,1,0.239,268.19,-6.4,7.45,5.51,-13.78,-2.41,0.224367339,0.13607286
洛川,109.625,35.875,2004,2,0.246,273.52,-0.62,6.38,11.47,-9.83,7.61,0.404301285,1.134043173
洛川,109.625,35.875,2004,3,0.231,278.48,3.99,16.33,13.27,-6.35,12.96,-0.444322192,0.772428931
洛川,109.625,35.875,2004,4,0.577,287.27,13.41,45.49,10.24,4.77,22.1,-2.244550479,2.240359189
洛川,109.625,35.875,2004,5,0.597,288.59,15.4,94.41,39.01,2.6,21.29,-0.522622324,0.767217246
洛川,109.625,35.875,2004,6,0.628,292.22,18.79,83.83,67.38,9.93,25.24,0.275840742,-0.17139648
洛川,109.625,35.875,2004,7,0.723,293.83,20.32,83.76,114.29,15.68,23.87,0.227860033,-0.581154477
洛川,109.625,35.875,2004,8,0.739,292.54,18.81,69.41,116.74,14.25,22.76,-0.634271541,-0.522890687
洛川,109.625,35.875,2004,9,0.711,288.02,14.33,54.35,71.0,4.77,21.41,0.304191317,-0.007270768
洛川,109.625,35.875,2004,10,0.542,281.37,7.19,34.42,25.36,0.72,13.64,-0.58679519,-0.637910849
洛川,109.625,35.875,2004,11,0.325,275.4,1.37,23.68,26.37,-9.94,10.08,-0.108655255,0.269985788
洛川,109.625,35.875,2004,12,0.282,270.76,-4.38,7.01,11.36,-18.28,2.89,1.881600595,0.659230745
洛川,109.625,35.875,2005,1,0.243,266.86,-7.89,10.96,3.29,-13.39,-4.11,-0.151839227,-0.409573268
洛川,109.625,35.875,2005,2,0.246,269.74,-5.01,6.63,10.99,-15.77,2.6,-0.405452435,-0.492935797
洛川,109.625,35.875,2005,3,0.239,277.78,2.96,11.36,8.69,-7.66,11.0,-0.906312443,0.1497622
洛川,109.625,35.875,2005,4,0.431,286.9,12.8,35.92,14.09,3.14,21.5,-0.087247274,1.963537587
洛川,109.625,35.875,2005,5,0.585,289.43,15.3,66.2,59.22,8.34,18.56,-0.178299121,1.159358404
洛川,109.625,35.875,2005,6,0.62,295.05,22.74,106.59,67.97,12.8,28.26,0.343904198,1.862053879
洛川,109.625,35.875,2005,7,0.699,295.73,23.41,94.99,109.69,16.7,27.0,-0.401246455,0.868903414
洛川,109.625,35.875,2005,8,0.758,293.29,20.2,76.64,101.27,14.78,25.94,-0.907132945,-0.347769878
洛川,109.625,35.875,2005,9,0.668,290.08,16.95,61.5,114.83,10.72,22.75,0.823011277,2.024474092
洛川,109.625,35.875,2005,10,0.589,282.29,9.09,39.98,66.75,3.55,13.79,0.562397214,-0.460504166
洛川,109.625,35.875,2005,11,0.365,278.22,4.55,22.77,6.47,-1.2,11.65,-0.985177058,1.00334654
洛川,109.625,35.875,2005,12,0.278,268.72,-5.97,4.97,2.31,-11.71,-1.0,-0.906582719,-0.871721135
洛川,109.625,35.875,2006,1,0.235,268.47,-5.59,7.34,11.81,-12.92,-2.11,1.086873892,0.36339281
洛川,109.625,35.875,2006,2,0.246,272.41,-1.49,10.94,20.77,-7.38,5.21,0.701962669,0.528952851
洛川,109.625,35.875,2006,3,0.231,279.68,5.8,20.56,5.4,-6.53,15.05,-1.749203094,0.885379038
洛川,109.625,35.875,2006,4,0.321,286.61,12.7,51.99,36.72,0.23,24.88,-1.314766227,1.471520501
洛川,109.625,35.875,2006,5,0.597,289.98,16.8,101.62,60.15,6.05,23.78,0.395235176,1.1178193
洛川,109.625,35.875,2006,6,0.691,295.19,21.57,81.56,38.09,14.05,28.09,-0.161292001,1.445037953
洛川,109.625,35.875,2006,7,0.758,297.12,23.79,93.87,120.11,17.58,28.37,-0.897670589,1.723631355
洛川,109.625,35.875,2006,8,0.782,295.49,21.57,66.64,88.6,15.39,26.37,0.614730713,0.875187318
洛川,109.625,35.875,2006,9,0.719,287.85,14.19,53.93,75.56,10.26,20.5,0.065851885,-0.773016059
洛川,109.625,35.875,2006,10,0.522,286.08,12.55,37.81,21.96,7.54,15.96,-1.71112749,2.369740213
洛川,109.625,35.875,2006,11,0.372,278.15,4.17,16.25,19.62,-2.36,11.35,-0.221658712,0.903186211
洛川,109.625,35.875,2006,12,0.27,270.83,-3.18,10.53,4.99,-6.22,-0.82,-0.151200794,0.536125404
洛川,109.625,35.875,2007,1,0.243,269.41,-4.64,8.58,6.53,-8.77,-1.07,-1.160745305,0.54237344
洛川,109.625,35.875,2007,2,0.266,275.68,2.18,7.39,13.66,-2.46,7.12,0.320997342,1.68025495
洛川,109.625,35.875,2007,3,0.282,278.45,4.18,20.27,36.04,-7.72,15.78,1.190164053,0.274799501
洛川,109.625,35.875,2007,4,0.585,285.85,11.07,32.23,13.22,0.2,20.03,-2.268371941,-0.006758981
洛川,109.625,35.875,2007,5,0.632,292.21,18.91,69.71,27.15,11.84,23.05,-0.807130608,2.300607084
洛川,109.625,35.875,2007,6,0.739,294.42,21.29,63.79,65.66,13.87,26.36,-0.172283943,0.24610802
洛川,109.625,35.875,2007,7,0.743,294.88,21.9,85.02,153.73,17.57,27.59,0.517548798,-1.423173109
洛川,109.625,35.875,2007,8,0.762,295.13,22.04,89.95,68.51,17.24,24.92,-1.532322164,1.023651044
洛川,109.625,35.875,2007,9,0.707,288.51,15.19,59.62,73.26,7.76,21.09,-0.020005288,-0.451856698
洛川,109.625,35.875,2007,10,0.593,282.7,9.22,29.71,53.43,2.05,18.23,0.55063273,-0.628570773
洛川,109.625,35.875,2007,11,0.321,277.9,4.1,21.21,3.47,-1.52,10.06,-1.817937737,0.959603387
洛川,109.625,35.875,2007,12,0.278,271.53,-2.6,7.96,9.43,-10.06,0.36,0.57454135,0.623130567
洛川,109.625,35.875,2008,1,0.172,268.04,-8.35,8.86,25.93,-16.08,0.79,1.612892793,-1.521836514
洛川,109.625,35.875,2008,2,0.227,267.86,-6.9,19.67,10.9,-14.64,4.46,-1.00893175,-1.286332622
洛川,109.625,35.875,2008,3,0.254,280.11,6.86,26.17,20.0,-0.3,11.81,-0.030046421,1.094892299
洛川,109.625,35.875,2008,4,0.463,285.54,12.03,45.47,38.36,5.33,19.43,-0.20389614,0.479042049
洛川,109.625,35.875,2008,5,0.617,290.05,17.28,70.57,35.7,9.82,22.15,-0.759519782,0.803391851
洛川,109.625,35.875,2008,6,0.695,293.31,20.03,72.59,79.9,11.45,24.72,1.412469303,-0.998164632
洛川,109.625,35.875,2008,7,0.735,295.73,22.12,90.89,73.81,16.2,25.01,-0.738841393,-0.710935725
洛川,109.625,35.875,2008,8,0.77,294.67,20.88,71.11,94.95,14.23,25.31,-1.110615883,-0.8657773
洛川,109.625,35.875,2008,9,0.727,289.2,15.75,58.97,81.09,6.54,21.66,-0.154042519,-0.11769093
洛川,109.625,35.875,2008,10,0.565,283.94,10.37,36.83,42.77,3.68,16.34,-0.758200482,0.544198488
洛川,109.625,35.875,2008,11,0.376,277.22,3.46,14.29,6.58,-3.28,10.58,-0.786089606,0.461318953
洛川,109.625,35.875,2008,12,0.29,270.66,-3.26,4.38,1.57,-16.06,4.47,-1.68074884,0.387668454
洛川,109.625,35.875,2009,1,0.254,268.61,-4.76,3.53,3.29,-15.58,2.15,-2.429116679,0.161756389
洛川,109.625,35.875,2009,2,0.25,275.66,1.84,6.45,21.44,-2.79,6.33,0.878364783,1.364909483
洛川,109.625,35.875,2009,3,0.243,279.82,5.91,23.09,12.29,-2.23,16.5,-0.616818997,0.775892096
洛川,109.625,35.875,2009,4,0.518,286.63,12.58,28.86,24.56,1.07,19.27,-1.47458166,1.226017191
洛川,109.625,35.875,2009,5,0.632,288.69,15.24,74.87,81.24,10.71,19.87,0.871013559,-0.249517985
洛川,109.625,35.875,2009,6,0.695,294.78,22.13,78.85,33.74,16.59,26.44,-2.195178115,1.825084947
洛川,109.625,35.875,2009,7,0.754,296.14,22.58,80.64,120.9,17.65,26.19,0.118808707,0.540444739
洛川,109.625,35.875,2009,8,0.766,294.22,20.61,92.53,147.38,13.77,24.34,0.201908729,-1.247825791
洛川,109.625,35.875,2009,9,0.731,289.91,16.13,60.6,56.57,11.04,20.42,-0.710934092,0.356934016
洛川,109.625,35.875,2009,10,0.526,285.73,12.34,39.32,32.21,8.45,17.08,-0.871528863,1.579944418
洛川,109.625,35.875,2009,11,0.306,274.55,-0.8,20.66,42.08,-12.25,12.24,0.900267521,-1.839814947
洛川,109.625,35.875,2009,12,0.231,268.67,-4.54,28.06,3.22,-12.67,-0.61,0.192869485,-0.15023075
洛川,109.625,35.875,2010,1,0.235,270.1,-3.33,7.17,2.09,-9.45,1.43,-1.680769591,1.025577638
洛川,109.625,35.875,2010,2,0.219,272.15,-1.67,9.0,13.89,-12.11,7.03,0.986058743,0.50967042
洛川,109.625,35.875,2010,3,0.223,278.05,4.29,23.64,20.86,-7.48,14.59,-0.428597893,0.091904807
洛川,109.625,35.875,2010,4,0.262,283.05,8.89,35.49,32.13,-0.42,16.19,0.329716829,-1.289318263
洛川,109.625,35.875,2010,5,0.687,288.91,16.11,78.59,60.41,9.92,22.85,-0.85791207,0.730983422
洛川,109.625,35.875,2010,6,0.703,293.82,20.55,73.71,47.85,12.11,24.91,-0.681466005,0.601963526
洛川,109.625,35.875,2010,7,0.762,296.88,22.89,81.69,130.36,16.74,27.64,-0.005403584,0.947051068
洛川,109.625,35.875,2010,8,0.766,293.51,19.51,114.0,176.21,14.72,24.69,1.195548651,-0.444180418
洛川,109.625,35.875,2010,9,0.743,289.49,15.62,74.22,97.19,7.49,21.99,-0.017087206,1.191133324
洛川,109.625,35.875,2010,10,0.597,283.19,9.09,43.49,26.14,-0.38,14.49,-1.240324715,0.14879312
洛川,109.625,35.875,2010,11,0.365,276.8,3.02,14.86,4.85,-1.47,6.97,-2.240508414,0.845230786
洛川,109.625,35.875,2010,12,0.278,270.58,-3.81,7.23,7.06,-13.3,3.87,-1.193842624,0.787032578
洛川,109.625,35.875,2011,1,0.262,263.59,-11.6,2.35,1.63,-17.01,-5.61,0.095633506,-2.758373201
洛川,109.625,35.875,2011,2,0.25,271.47,-1.94,9.45,23.72,-11.26,6.51,0.712332723,0.556291681
洛川,109.625,35.875,2011,3,0.258,275.21,0.96,22.24,16.23,-9.48,12.24,-1.744310562,-0.882990171
洛川,109.625,35.875,2011,4,0.447,284.57,11.17,32.77,15.25,4.49,18.46,-1.386560971,0.958308397
洛川,109.625,35.875,2011,5,0.613,287.71,14.35,88.36,71.15,8.72,20.25,-0.062232951,0.101907316
洛川,109.625,35.875,2011,6,0.695,292.82,19.35,85.53,56.81,13.23,23.69,-1.426924764,1.006543825
洛川,109.625,35.875,2011,7,0.762,294.48,20.25,92.19,143.95,16.04,24.07,-0.181171417,-0.432194718
洛川,109.625,35.875,2011,8,0.786,293.02,18.76,106.98,105.98,14.29,24.06,0.098019868,-0.77896903
洛川,109.625,35.875,2011,9,0.766,287.04,13.0,69.45,199.45,4.7,20.64,1.697991157,-1.398692322
洛川,109.625,35.875,2011,10,0.55,282.86,9.43,52.95,60.26,4.54,14.16,0.649592433,0.547473235
洛川,109.625,35.875,2011,11,0.412,278.6,4.45,24.65,80.15,-0.97,9.32,1.527690854,1.181205623
洛川,109.625,35.875,2011,12,0.286,270.15,-4.16,18.77,7.07,-7.49,-0.69,-0.083396691,0.267668243
洛川,109.625,35.875,2012,1,0.258,266.82,-7.19,12.48,11.97,-15.85,-1.07,-0.049265721,-0.346210663
洛川,109.625,35.875,2012,2,0.246,270.16,-3.8,5.55,4.78,-11.56,3.02,-1.447301198,-0.660488225
洛川,109.625,35.875,2012,3,0.243,276.92,3.83,16.01,24.2,-1.97,11.04,-0.224160501,-0.293043359
洛川,109.625,35.875,2012,4,0.538,285.02,12.41,53.13,25.88,6.6,17.34,0.262042172,1.053257503
洛川,109.625,35.875,2012,5,0.668,288.31,15.42,104.83,75.46,9.92,19.27,0.048197357,0.491345917
洛川,109.625,35.875,2012,6,0.735,292.04,18.81,108.6,68.55,14.82,23.5,-0.932000213,0.179369636
洛川,109.625,35.875,2012,7,0.794,294.64,21.35,116.76,157.03,18.68,24.81,0.374505721,0.264487737
洛川,109.625,35.875,2012,8,0.817,293.27,19.43,95.93,93.91,15.08,22.86,0.792946206,-0.461473625
洛川,109.625,35.875,2012,9,0.75,287.19,13.53,76.33,104.21,7.66,17.62,-0.616334374,-1.065296954
洛川,109.625,35.875,2012,10,0.577,283.1,9.81,43.06,33.33,4.77,14.09,-1.639080392,0.403620026
洛川,109.625,35.875,2012,11,0.337,274.98,0.93,16.15,14.56,-4.34,7.63,0.514687468,-0.578859473
洛川,109.625,35.875,2012,12,0.274,268.48,-6.08,10.22,9.27,-15.04,-0.31,-0.117801571,-0.379375485
洛川,109.625,35.875,2013,1,0.258,268.59,-4.32,9.65,8.82,-14.01,2.22,-0.698177663,0.735714908
洛川,109.625,35.875,2013,2,0.246,273.55,0.09,6.34,6.23,-5.76,7.43,-0.011805396,0.868589174
洛川,109.625,35.875,2013,3,0.254,281.82,8.79,11.38,6.93,-0.74,15.97,-2.300425559,1.816453191
洛川,109.625,35.875,2013,4,0.538,284.72,11.24,42.53,32.55,-0.11,20.64,-0.412212158,0.134984382
洛川,109.625,35.875,2013,5,0.62,289.98,16.81,80.55,87.23,12.25,22.53,1.421008776,0.670197929
洛川,109.625,35.875,2013,6,0.731,293.84,21.03,108.89,74.9,13.45,25.66,-0.269328647,0.699569748
洛川,109.625,35.875,2013,7,0.774,293.99,21.12,120.79,278.96,14.65,24.29,2.036856682,-0.457352474
洛川,109.625,35.875,2013,8,0.778,293.73,21.2,129.1,74.14,14.28,24.43,-2.276848733,1.072576068
洛川,109.625,35.875,2013,9,0.723,288.92,15.83,76.26,83.39,7.58,20.51,-0.16059421,0.716738542
洛川,109.625,35.875,2013,10,0.577,284.63,11.24,44.95,24.84,6.32,17.48,-1.060529191,1.466947027
洛川,109.625,35.875,2013,11,0.392,276.28,2.19,23.12,22.08,-5.27,7.43,-0.367445713,0.398452876
洛川,109.625,35.875,2013,12,0.309,269.93,-3.76,8.76,0.02,-10.84,1.73,-2.149444908,0.300554141
洛川,109.625,35.875,2014,1,0.278,270.3,-2.58,4.4,4.23,-7.57,5.27,-0.967952679,1.765975472
洛川,109.625,35.875,2014,2,0.254,269.94,-3.93,15.02,35.72,-13.97,5.8,1.897709232,-0.646391333
洛川,109.625,35.875,2014,3,0.274,279.51,6.65,27.78,13.69,-0.82,15.1,0.086199005,1.181123762
洛川,109.625,35.875,2014,4,0.601,285.52,11.77,44.24,66.18,5.48,17.19,1.222017599,0.350135413
洛川,109.625,35.875,2014,5,0.644,288.0,15.1,88.66,23.86,7.35,22.3,0.349494246,-0.323584798
洛川,109.625,35.875,2014,6,0.731,293.12,19.6,77.14,57.19,14.94,24.56,-0.18793925,-0.066008345
洛川,109.625,35.875,2014,7,0.762,295.49,21.85,93.81,73.04,17.3,25.19,-1.298337358,0.451636529
洛川,109.625,35.875,2014,8,0.77,293.14,18.89,60.32,92.36,14.29,24.59,-0.131292842,-1.394010459
洛川,109.625,35.875,2014,9,0.743,288.6,14.95,61.03,141.45,10.81,19.27,1.732676114,-0.048577506
