参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
环县,107.375,36.625,2001,1,0.124,12.44,-6.3,7.67,12.46,-13.61,-1.37,1.685319136,1.003486136
环县,107.375,36.625,2001,2,0.124,15.44,-2.74,8.93,9.87,-7.62,4.77,0.903055198,0.909435802
环县,107.375,36.625,2001,3,0.12,11.75,2.02,6.21,2.43,-9.16,10.65,-2.12642584,0.752556782
环县,107.375,36.625,2001,4,0.128,15.42,9.62,25.38,24.84,-2.51,18.27,0.821111174,-0.088673661
环县,107.375,36.625,2001,5,0.187,14.29,16.48,35.72,11.59,10.81,22.93,-1.947389281,1.585113077
环县,107.375,36.625,2001,6,0.215,16.9,20.72,49.24,44.22,14.14,26.19,-0.540476041,1.719473366
环县,107.375,36.625,2001,7,0.199,18.04,22.89,58.23,74.51,15.95,26.85,-0.667057064,2.344190351
环县,107.375,36.625,2001,8,0.286,21.05,19.93,60.52,79.4,14.08,25.46,0.25498144,1.031796438
环县,107.375,36.625,2001,9,0.369,26.66,13.82,41.63,101.23,7.65,19.18,1.964413486,-0.229513049
环县,107.375,36.625,2001,10,0.266,25.07,9.61,27.75,28.09,2.89,13.76,1.135874881,1.215874741
环县,107.375,36.625,2001,11,0.172,20.42,1.12,17.07,4.41,-6.1,8.84,-0.387774971,0.732177161
环县,107.375,36.625,2001,12,0.14,16.91,-6.64,12.26,10.74,-15.37,-1.43,0.573764008,0.256662926
环县,107.375,36.625,2002,1,0.128,12.77,-4.26,3.25,5.45,-11.0,3.33,0.497513106,2.140419267
环县,107.375,36.625,2002,2,0.128,11.68,-0.21,2.26,6.28,-5.89,4.05,-0.329819846,1.410364502
环县,107.375,36.625,2002,3,0.128,14.31,4.81,13.2,12.37,-2.88,14.07,0.210302582,1.187319985
环县,107.375,36.625,2002,4,0.156,18.12,9.31,33.41,27.25,-1.46,19.84,1.065002775,0.074391835
环县,107.375,36.625,2002,5,0.239,22.06,14.1,47.39,51.96,6.56,22.03,0.723215724,-0.4041636
环县,107.375,36.625,2002,6,0.29,21.65,21.68,73.77,99.23,13.68,25.69,2.1579588,1.573587539
环县,107.375,36.625,2002,7,0.325,20.51,22.85,79.82,59.26,17.31,28.65,0.176678705,0.058024354
环县,107.375,36.625,2002,8,0.361,21.33,20.63,65.89,38.0,14.07,28.35,-0.589814382,0.425042497
环县,107.375,36.625,2002,9,0.333,20.93,14.87,38.42,63.83,7.76,26.22,-0.292020014,0.534549522
环县,107.375,36.625,2002,10,0.223,19.75,9.1,31.12,35.12,-0.43,16.88,0.226321941,0.79747324
环县,107.375,36.625,2002,11,0.18,16.94,2.06,14.76,2.3,-3.26,6.88,-1.632692606,0.859916585
环县,107.375,36.625,2002,12,0.176,14.52,-6.87,6.27,7.31,-20.76,2.63,2.459291562,-1.272229293
环县,107.375,36.625,2003,1,0.136,12.86,-6.69,2.83,4.88,-19.03,1.57,0.519632882,-0.103226517
环县,107.375,36.625,2003,2,0.148,12.7,-0.46,4.65,5.12,-9.8,6.75,0.372021952,1.102118862
环县,107.375,36.625,2003,3,0.144,15.81,3.22,15.23,19.5,-6.55,17.44,2.19907515,0.291306148
环县,107.375,36.625,2003,4,0.168,17.27,9.66,26.84,19.21,3.82,19.18,-0.398681856,-0.213911325
环县,107.375,36.625,2003,5,0.215,20.0,15.22,49.54,55.22,6.8,20.5,1.554260569,0.116270996
环县,107.375,36.625,2003,6,0.243,18.19,20.57,60.89,40.89,13.78,25.17,0.464665545,0.078707573
环县,107.375,36.625,2003,7,0.294,21.31,21.7,70.11,85.65,14.74,26.05,0.068417608,-0.326789464
环县,107.375,36.625,2003,8,0.337,23.01,19.3,57.77,127.01,13.79,23.85,1.605535866,-0.849598508
环县,107.375,36.625,2003,9,0.333,27.43,15.97,65.01,122.63,7.2,21.36,1.083501808,0.999863287
环县,107.375,36.625,2003,10,0.29,27.11,8.45,44.87,56.83,2.26,13.26,0.97569992,-0.136903556
环县,107.375,36.625,2003,11,0.18,22.98,0.26,16.13,16.71,-8.82,10.98,0.865987162,-0.240865875
环县,107.375,36.625,2003,12,0.152,19.12,-5.08,15.86,6.81,-10.7,-0.77,-0.721552224,0.222299541
环县,107.375,36.625,2004,1,0.14,13.22,-6.21,3.21,3.85,-14.17,-0.5,-0.250648305,0.254816259
环县,107.375,36.625,2004,2,0.132,11.73,-0.74,4.49,8.08,-9.81,7.44,-0.45300657,1.008972104
环县,107.375,36.625,2004,3,0.14,12.69,4.5,8.59,10.74,-4.57,12.7,-0.831782169,0.765422117
环县,107.375,36.625,2004,4,0.172,12.3,13.71,13.77,3.3,3.59,21.81,-0.690086588,2.208662992
