参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
西峰镇,107.625,35.625,2001,1,0.282,268.58,-6.19,9.13,20.27,-11.81,-1.75,1.613596448,0.857021571
西峰镇,107.625,35.625,2001,2,0.258,272.08,-1.98,13.35,9.72,-8.02,3.93,1.437692543,0.884407706
西峰镇,107.625,35.625,2001,3,0.258,278.36,3.71,15.99,4.34,-5.8,9.92,-2.66432597,0.803046908
西峰镇,107.625,35.625,2001,4,0.365,283.45,10.23,43.5,31.63,-1.16,17.6,0.334318439,-0.37013671
西峰镇,107.625,35.625,2001,5,0.455,290.37,17.05,79.66,22.63,12.12,22.7,-2.645219427,1.876115425
西峰镇,107.625,35.625,2001,6,0.471,293.74,20.29,57.91,59.77,13.64,26.2,-0.676414932,1.64172137
西峰镇,107.625,35.625,2001,7,0.337,297.35,23.22,54.21,80.58,15.86,26.84,-0.049138571,2.673661095
西峰镇,107.625,35.625,2001,8,0.392,294.01,19.78,50.23,83.43,12.51,25.46,-0.206386069,0.593203311
西峰镇,107.625,35.625,2001,9,0.431,287.51,13.91,29.5,115.15,7.19,18.98,1.501230991,-0.266102283
西峰镇,107.625,35.625,2001,10,0.372,283.38,9.95,23.63,34.2,4.4,13.25,0.631302003,1.244072046
西峰镇,107.625,35.625,2001,11,0.404,276.21,2.19,20.66,6.03,-3.87,8.15,-0.778012948,0.664233008
西峰镇,107.625,35.625,2001,12,0.302,269.08,-4.97,19.82,19.68,-11.99,1.01,1.144686886,0.290169292
西峰镇,107.625,35.625,2002,1,0.274,271.44,-2.37,7.59,7.57,-9.59,4.8,0.585180613,2.004506826
西峰镇,107.625,35.625,2002,2,0.223,274.25,0.8,4.07,6.03,-4.88,5.28,-0.431053364,1.475524132
西峰镇,107.625,35.625,2002,3,0.235,280.03,6.08,24.87,17.67,-2.22,13.52,-0.060922734,1.408144425
西峰镇,107.625,35.625,2002,4,0.408,283.89,9.95,50.85,37.19,1.46,20.35,0.501250321,0.421981852
西峰镇,107.625,35.625,2002,5,0.561,287.21,13.95,60.56,70.3,7.38,22.24,0.631274393,-0.459269167
西峰镇,107.625,35.625,2002,6,0.51,294.67,21.45,87.41,103.84,15.23,25.42,2.170104548,1.561412749
西峰镇,107.625,35.625,2002,7,0.443,296.72,22.5,81.32,60.96,16.79,29.27,-0.124510703,0.093945054
西峰镇,107.625,35.625,2002,8,0.416,294.15,20.11,61.44,55.46,14.19,28.19,-1.018343078,0.42152993
西峰镇,107.625,35.625,2002,9,0.412,289.57,15.39,40.68,68.13,8.02,24.95,-0.523818325,0.884749407
西峰镇,107.625,35.625,2002,10,0.353,284.19,10.28,35.62,45.21,1.42,17.75,0.462137921,0.917622197
西峰镇,107.625,35.625,2002,11,0.325,276.86,3.07,21.63,5.07,-1.86,8.22,-1.622736827,0.789647813
西峰镇,107.625,35.625,2002,12,0.309,269.2,-5.57,9.28,10.84,-18.7,2.99,1.911188346,-0.459575288
西峰镇,107.625,35.625,2003,1,0.243,268.46,-5.51,5.48,13.44,-16.33,1.62,0.829557918,0.402148614
西峰镇,107.625,35.625,2003,2,0.203,273.88,0.57,13.39,15.13,-6.43,7.2,0.313055395,1.110532376
西峰镇,107.625,35.625,2003,3,0.223,277.59,4.02,25.87,30.8,-6.15,17.06,1.866632523,0.186117511
西峰镇,107.625,35.625,2003,4,0.447,283.83,9.97,43.34,30.35,4.26,19.5,-0.231277662,-0.181090462
西峰镇,107.625,35.625,2003,5,0.475,288.62,15.23,67.59,61.54,8.19,20.56,0.872329112,0.427810455
西峰镇,107.625,35.625,2003,6,0.4,294.26,20.35,81.91,61.72,14.49,24.14,0.141251878,0.785744355
西峰镇,107.625,35.625,2003,7,0.428,295.07,21.49,64.17,85.82,14.93,26.19,-0.17903121,-0.011788715
西峰镇,107.625,35.625,2003,8,0.475,292.83,18.89,46.57,128.08,13.06,23.82,1.515872938,-0.994469
西峰镇,107.625,35.625,2003,9,0.498,289.53,15.76,49.96,169.06,6.72,19.89,1.031132637,0.882029397
西峰镇,107.625,35.625,2003,10,0.447,281.86,8.42,32.6,64.0,3.03,12.95,0.889224518,-0.45153997
西峰镇,107.625,35.625,2003,11,0.353,275.19,1.24,18.3,23.68,-5.8,10.95,1.240190495,-0.181802948
西峰镇,107.625,35.625,2003,12,0.258,269.98,-3.72,18.44,7.0,-9.04,0.13,0.450333196,0.324085958
西峰镇,107.625,35.625,2004,1,0.215,268.92,-5.05,7.26,6.61,-12.18,-0.47,0.0245115,0.494146587
西峰镇,107.625,35.625,2004,2,0.176,274.09,0.43,8.12,12.56,-8.22,8.36,0.540872194,1.014425071
西峰镇,107.625,35.625,2004,3,0.195,279.33,5.25,18.04,12.6,-4.08,14.26,-0.615820415,0.762730285
西峰镇,107.625,35.625,2004,4,0.29,287.36,14.25,55.07,12.08,4.47,22.49,-0.783136143,2.285791186
西峰镇,107.625,35.625,2004,5,0.408,289.1,15.72,73.29,35.16,2.45,22.31,-0.447699286,0.718271741
西峰镇,107.625,35.625,2004,6,0.361,293.8,20.07,63.06,50.0,12.35,27.27,-0.503443691,0.452498371
西峰镇,107.625,35.625,2004,7,0.396,296.07,21.83,59.7,86.77,15.72,25.65,-0.343868082,0.201107702
西峰镇,107.625,35.625,2004,8,0.479,293.9,19.93,48.3,93.73,14.83,24.37,0.222319018,-0.209147676
西峰镇,107.625,35.625,2004,9,0.479,288.94,15.16,35.42,82.98,5.25,22.3,0.647762221,0.41129684
西峰镇,107.625,35.625,2004,10,0.443,282.06,8.19,33.87,33.03,2.25,13.05,-0.510450351,-0.601545143
西峰镇,107.625,35.625,2004,11,0.396,275.59,2.3,24.36,24.68,-10.36,10.09,-0.182152872,0.226140519
西峰镇,107.625,35.625,2004,12,0.345,271.74,-2.78,9.93,14.1,-17.05,4.43,1.670540974,0.805293563
西峰镇,107.625,35.625,2005,1,0.274,268.38,-5.8,13.04,2.83,-11.85,-2.91,-0.487012349,0.210254953
西峰镇,107.625,35.625,2005,2,0.211,271.15,-3.34,8.08,13.3,-12.85,3.74,0.111131583,-0.195823442
西峰镇,107.625,35.625,2005,3,0.211,278.72,4.41,17.97,8.57,-5.04,12.56,-0.228779656,0.194603328
西峰镇,107.625,35.625,2005,4,0.325,286.78,13.41,49.38,17.04,3.75,22.3,-1.162849617,1.744274094
西峰镇,107.625,35.625,2005,5,0.392,290.11,16.37,62.04,63.45,11.13,21.76,0.284809865,1.395731853
西峰镇,107.625,35.625,2005,6,0.357,295.84,22.74,81.63,66.27,15.11,27.49,-0.216177469,2.343019069
西峰镇,107.625,35.625,2005,7,0.345,296.61,23.44,70.28,103.25,18.01,26.38,0.439583885,0.562391115
西峰镇,107.625,35.625,2005,8,0.471,293.57,20.13,58.21,90.06,14.62,25.52,-0.010084417,-1.244762293
西峰镇,107.625,35.625,2005,9,0.38,290.75,17.12,52.18,99.04,11.61,22.75,0.624030914,1.573380725
西峰镇,107.625,35.625,2005,10,0.412,282.15,9.36,35.07,64.95,4.69,12.92,0.318661684,-0.694771313
西峰镇,107.625,35.625,2005,11,0.369,277.15,4.29,26.61,11.24,-1.66,9.99,-0.793227191,0.877096885
西峰镇,107.625,35.625,2005,12,0.306,269.04,-4.74,7.22,3.47,-9.71,-0.85,-0.869791099,-0.605221141
西峰镇,107.625,35.625,2006,1,0.215,268.69,-4.89,9.44,14.17,-13.57,-0.48,0.962619943,0.344081732
西峰镇,107.625,35.625,2006,2,0.215,273.21,-0.07,12.52,20.23,-4.82,5.59,1.07768376,0.475615989
西峰镇,107.625,35.625,2006,3,0.219,279.78,6.44,31.2,10.48,-5.99,14.77,-0.792286105,0.572042554
西峰镇,107.625,35.625,2006,4,0.325,286.06,12.76,53.43,29.52,-0.02,22.86,-1.324370707,1.201952347
西峰镇,107.625,35.625,2006,5,0.435,290.15,17.07,91.54,69.11,8.03,23.94,0.843372942,0.947391871
西峰镇,107.625,35.625,2006,6,0.376,296.03,22.06,65.48,25.86,15.67,28.02,-0.265666197,1.45792797
西峰镇,107.625,35.625,2006,7,0.42,299.0,25.07,68.87,90.78,19.41,29.14,-0.129299868,1.448594153
西峰镇,107.625,35.625,2006,8,0.463,296.78,22.71,53.73,90.36,16.18,27.07,1.265488792,1.206632905
西峰镇,107.625,35.625,2006,9,0.428,288.31,14.81,43.19,71.94,10.16,21.78,-0.424636425,-1.020210529
西峰镇,107.625,35.625,2006,10,0.471,285.87,12.73,40.49,33.67,8.18,16.05,-1.403110381,2.248338533
西峰镇,107.625,35.625,2006,11,0.506,277.62,4.23,20.65,11.78,-2.99,9.65,0.12274823,0.964115849
西峰镇,107.625,35.625,2006,12,0.463,270.98,-2.26,6.29,1.55,-5.35,1.23,-0.00193552,0.567672402
西峰镇,107.625,35.625,2007,1,0.286,268.42,-5.55,8.2,7.61,-11.69,0.71,-0.372076274,0.183937794
西峰镇,107.625,35.625,2007,2,0.262,276.06,3.4,8.2,10.72,-0.82,8.48,0.096524303,1.597687818
西峰镇,107.625,35.625,2007,3,0.313,278.76,5.04,22.26,32.64,-9.16,16.57,0.924181727,0.18726081
西峰镇,107.625,35.625,2007,4,0.357,285.44,11.46,42.97,14.67,0.66,18.99,-2.40300981,0.095584199
西峰镇,107.625,35.625,2007,5,0.424,291.96,18.65,72.43,26.56,10.8,23.38,-0.265672735,2.271619732
西峰镇,107.625,35.625,2007,6,0.341,294.65,21.2,57.02,68.94,13.72,26.54,-0.540472294,0.44592825
西峰镇,107.625,35.625,2007,7,0.404,295.85,22.44,66.2,128.07,16.13,28.05,0.15897488,-0.966403335
西峰镇,107.625,35.625,2007,8,0.435,296.28,22.65,66.04,66.59,18.37,26.04,-0.797056584,1.069872205
西峰镇,107.625,35.625,2007,9,0.428,289.15,15.64,47.2,62.94,8.88,21.12,0.246715829,-0.529898078
西峰镇,107.625,35.625,2007,10,0.38,282.22,9.18,27.86,62.04,2.61,15.64,1.199303547,-0.711619563
西峰镇,107.625,35.625,2007,11,0.306,277.38,4.59,23.75,5.3,-0.96,8.68,-1.730036578,1.033222284
西峰镇,107.625,35.625,2007,12,0.246,271.32,-1.8,10.91,7.67,-9.2,0.87,0.148070855,0.525125379
西峰镇,107.625,35.625,2008,1,0.227,267.84,-7.61,8.45,17.86,-14.53,0.73,1.740587082,-1.469749622
西峰镇,107.625,35.625,2008,2,0.207,268.82,-5.13,13.75,6.23,-12.54,5.01,-1.354829363,-1.075353927
西峰镇,107.625,35.625,2008,3,0.239,280.39,7.91,23.44,20.89,1.31,13.42,0.015516683,0.962327149
