参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
铜川,109.125,32.125,2001,1,0.357,24.13,-2.89,11.81,17.79,-10.54,-1.0,1.351235491,0.285232648
铜川,109.125,32.125,2001,2,0.298,26.47,0.29,22.81,15.45,-6.29,5.59,1.697327517,0.656606913
铜川,109.125,32.125,2001,3,0.313,22.57,6.63,47.19,30.03,-4.26,12.21,-2.73237884,1.188941547
铜川,109.125,32.125,2001,4,0.42,24.89,10.64,66.62,74.54,-0.65,18.77,0.245494459,-0.626422291
铜川,109.125,32.125,2001,5,0.601,25.17,16.05,105.2,86.86,10.74,22.61,-2.478739134,1.64149678
铜川,109.125,32.125,2001,6,0.715,27.95,18.15,94.0,149.72,16.01,26.96,-0.692779779,1.37523339
铜川,109.125,32.125,2001,7,0.809,26.32,21.91,135.26,121.57,18.08,27.81,-0.096409576,1.840922415
铜川,109.125,32.125,2001,8,0.821,26.95,19.19,93.73,88.99,14.36,26.79,-0.284610597,-0.19943871
铜川,109.125,32.125,2001,9,0.809,25.88,15.73,57.28,46.89,7.6,20.07,1.072272572,-0.292492736
铜川,109.125,32.125,2001,10,0.699,28.2,10.89,31.3,128.34,6.08,13.93,0.510541571,0.880346058
铜川,109.125,32.125,2001,11,0.522,26.25,4.53,21.93,7.96,-4.01,6.78,-0.857890097,0.621733851
铜川,109.125,32.125,2001,12,0.369,24.52,-3.0,10.85,15.52,-10.82,1.23,1.296248484,-0.455744433
铜川,109.125,32.125,2002,1,0.361,23.48,-0.23,16.87,9.64,-6.32,4.95,0.20331986,2.247720552
铜川,109.125,32.125,2002,2,0.302,25.72,2.13,15.63,23.98,-3.6,6.31,-0.452188438,1.588820375
铜川,109.125,32.125,2002,3,0.309,25.65,5.83,33.03,49.71,-1.86,14.3,-0.313655738,1.445148323
铜川,109.125,32.125,2002,4,0.672,28.18,9.36,48.96,118.27,2.31,19.29,-0.157797066,0.387472885
铜川,109.125,32.125,2002,5,0.723,30.99,12.91,73.54,201.22,8.14,23.01,0.33195741,-0.648748234
铜川,109.125,32.125,2002,6,0.79,29.91,20.22,120.89,188.34,17.1,24.99,1.908615243,1.60268188
铜川,109.125,32.125,2002,7,0.817,27.93,21.71,138.99,89.49,17.61,29.08,-1.708886573,1.174923335
铜川,109.125,32.125,2002,8,0.829,30.27,19.38,98.66,161.09,16.18,27.46,-0.319245472,0.765716592
铜川,109.125,32.125,2002,9,0.798,27.21,15.87,79.95,85.64,9.46,25.01,-0.19035568,0.801325838
铜川,109.125,32.125,2002,10,0.68,28.33,10.71,60.11,77.81,3.19,19.35,0.329027214,1.163386918
铜川,109.125,32.125,2002,11,0.53,27.02,4.99,18.53,25.51,-1.02,9.71,-1.134363145,0.57485253
铜川,109.125,32.125,2002,12,0.365,27.01,-1.26,9.64,18.9,-16.66,4.67,1.600317637,-1.119370443
铜川,109.125,32.125,2003,1,0.361,24.14,-1.09,13.1,9.7,-13.58,2.18,1.007162604,0.064712002
铜川,109.125,32.125,2003,2,0.349,25.35,1.37,10.97,22.75,-5.08,6.53,0.379849954,0.794682215
铜川,109.125,32.125,2003,3,0.361,24.87,3.91,25.56,29.15,-6.05,18.01,0.41378019,-0.353801324
铜川,109.125,32.125,2003,4,0.467,27.97,9.19,41.07,101.34,3.06,21.48,-0.326458719,-0.30094988
铜川,109.125,32.125,2003,5,0.727,30.45,14.4,69.05,166.05,10.25,22.28,-0.224470369,0.649443015
铜川,109.125,32.125,2003,6,0.798,30.14,17.99,103.73,150.79,14.51,24.82,0.138716508,0.796519818
铜川,109.125,32.125,2003,7,0.837,31.7,20.59,93.4,205.6,15.24,26.55,-0.123990812,-0.39887591
铜川,109.125,32.125,2003,8,0.837,30.59,19.25,68.54,186.03,13.22,24.88,0.978531006,-1.157136989
铜川,109.125,32.125,2003,9,0.809,31.45,16.16,62.72,194.19,7.88,21.09,1.022057683,0.624544979
铜川,109.125,32.125,2003,10,0.731,29.26,9.19,32.91,65.43,4.4,13.76,1.281297778,-0.579679756
铜川,109.125,32.125,2003,11,0.55,28.73,3.99,17.62,44.8,-3.4,13.14,1.178118212,-0.934924138
铜川,109.125,32.125,2003,12,0.42,27.09,-1.2,14.27,14.62,-7.47,0.61,0.498499192,0.063230317
铜川,109.125,32.125,2004,1,0.376,23.46,-2.79,19.1,24.4,-11.32,-0.35,0.132905578,0.245360366
铜川,109.125,32.125,2004,2,0.337,22.38,2.0,18.17,20.88,-6.7,9.85,0.54604316,1.371311972
铜川,109.125,32.125,2004,3,0.353,25.47,5.34,32.0,29.24,-2.38,14.47,-0.212135787,0.855144678
铜川,109.125,32.125,2004,4,0.746,25.01,12.28,57.76,40.23,7.09,23.29,-1.611637705,2.333047635
铜川,109.125,32.125,2004,5,0.766,27.1,14.15,87.86,131.88,4.48,22.63,-0.453788504,1.101145454
铜川,109.125,32.125,2004,6,0.786,28.32,17.63,103.43,145.35,10.64,27.0,0.116254694,0.391577185
铜川,109.125,32.125,2004,7,0.829,29.63,20.57,121.29,180.64,16.67,25.48,-0.409322843,-0.088490568
铜川,109.125,32.125,2004,8,0.841,30.07,18.79,69.89,118.02,15.35,25.11,0.291710962,-0.548106115
铜川,109.125,32.125,2004,9,0.806,31.31,15.39,54.97,198.94,6.71,22.58,0.472043928,0.075337525
铜川,109.125,32.125,2004,10,0.695,28.89,9.2,35.66,35.82,2.59,14.82,-0.690918513,-0.433964908
铜川,109.125,32.125,2004,11,0.554,28.29,5.04,16.26,58.09,-7.38,11.0,-0.195666395,0.426546912
铜川,109.125,32.125,2004,12,0.428,25.63,-0.34,9.66,21.89,-14.56,4.74,2.313469091,0.455708228
铜川,109.125,32.125,2005,1,0.302,29.32,-3.09,24.01,14.58,-11.6,-2.38,-0.529500223,-0.333840024
铜川,109.125,32.125,2005,2,0.337,26.29,-1.92,19.49,18.13,-11.59,4.89,-0.42478885,-0.74256369
铜川,109.125,32.125,2005,3,0.357,26.05,4.53,36.64,27.09,-4.68,12.4,-1.149256245,0.36293688
铜川,109.125,32.125,2005,4,0.79,25.47,12.85,63.78,72.39,5.44,21.97,-1.574859684,2.293067598
铜川,109.125,32.125,2005,5,0.778,27.81,14.55,62.41,110.62,11.76,20.53,-0.234437194,0.998346608
铜川,109.125,32.125,2005,6,0.821,28.54,19.41,101.52,123.11,12.71,27.27,0.099896201,1.691459
铜川,109.125,32.125,2005,7,0.845,31.13,20.28,85.61,250.3,17.44,25.86,-0.326133714,0.606135189
铜川,109.125,32.125,2005,8,0.857,31.89,17.18,66.65,232.66,13.23,25.6,0.188822679,-1.017764469
铜川,109.125,32.125,2005,9,0.806,30.26,16.13,65.57,109.07,10.57,21.94,0.667619224,1.394320817
铜川,109.125,32.125,2005,10,0.715,30.35,9.23,35.88,97.15,4.95,13.49,0.553664888,-0.511195846
铜川,109.125,32.125,2005,11,0.534,28.39,6.06,18.07,21.88,0.55,11.33,-0.38668841,1.211064593
铜川,109.125,32.125,2005,12,0.447,21.8,-1.15,13.72,3.54,-9.27,-0.68,-1.085819955,-0.993999089
铜川,109.125,32.125,2006,1,0.353,18.73,-1.35,9.13,10.33,-10.97,-0.95,0.925076751,-0.187217344
铜川,109.125,32.125,2006,2,0.365,22.91,1.01,16.95,37.14,-7.12,5.74,0.946608769,0.278364261
铜川,109.125,32.125,2006,3,0.384,26.48,6.76,42.62,37.53,-4.19,15.15,-1.116884725,0.849837192
铜川,109.125,32.125,2006,4,0.546,27.42,11.28,59.67,89.67,0.73,23.5,-1.47837865,1.298812203
铜川,109.125,32.125,2006,5,0.735,28.56,14.81,96.3,124.68,6.34,23.02,0.871793961,0.891335225
铜川,109.125,32.125,2006,6,0.798,26.71,19.08,103.54,103.84,13.78,26.73,-0.488687808,1.506575146
铜川,109.125,32.125,2006,7,0.829,28.19,20.87,103.58,122.28,16.98,28.53,-0.436220745,1.3164481
铜川,109.125,32.125,2006,8,0.837,26.77,20.39,87.5,62.37,14.9,26.05,-0.320941886,1.040767877
铜川,109.125,32.125,2006,9,0.806,29.83,14.03,57.3,142.88,11.26,20.77,0.456339941,-0.691515707
铜川,109.125,32.125,2006,10,0.735,28.23,11.49,46.6,53.83,7.71,16.24,-0.89452199,2.203164061
铜川,109.125,32.125,2006,11,0.538,26.98,5.82,26.56,28.13,-1.12,12.29,-0.656591315,1.143974594
铜川,109.125,32.125,2006,12,0.424,24.26,0.25,17.15,7.9,-5.03,1.21,-0.540662093,0.436527034
铜川,109.125,32.125,2007,1,0.361,20.66,-1.92,18.49,16.69,-6.97,1.55,-0.621028599,0.436290443
铜川,109.125,32.125,2007,2,0.38,24.07,4.31,18.24,41.5,-0.52,7.6,0.006244955,1.675798607
铜川,109.125,32.125,2007,3,0.396,25.2,5.76,27.9,41.6,-3.63,16.67,0.735692878,0.098279038
铜川,109.125,32.125,2007,4,0.601,28.63,10.04,66.29,110.88,2.03,19.63,-1.877953514,0.327826421
铜川,109.125,32.125,2007,5,0.758,29.14,16.63,107.29,153.23,12.57,23.32,-1.022766692,2.378679071
铜川,109.125,32.125,2007,6,0.817,30.57,17.82,87.32,182.61,14.56,26.66,-0.44927282,0.103345456
铜川,109.125,32.125,2007,7,0.841,32.77,18.87,61.57,318.39,16.25,27.53,1.402528319,-1.695935758
铜川,109.125,32.125,2007,8,0.849,30.36,19.31,88.97,126.96,15.85,24.6,0.451769819,-0.014089496
铜川,109.125,32.125,2007,9,0.821,28.95,14.16,60.03,50.25,9.32,20.26,-0.110476933,-0.82708536
铜川,109.125,32.125,2007,10,0.739,27.18,9.94,26.54,45.62,4.02,18.92,-0.060693543,-0.559043842
铜川,109.125,32.125,2007,11,0.542,26.84,5.97,26.84,30.3,0.61,10.8,-1.407950055,0.925963075
铜川,109.125,32.125,2007,12,0.443,24.94,0.61,15.23,10.59,-7.76,1.96,0.579327591,0.588393244
铜川,109.125,32.125,2008,1,0.38,21.16,-4.87,12.23,24.46,-12.73,1.49,1.409877627,-2.419066264
铜川,109.125,32.125,2008,2,0.341,24.03,-1.69,26.89,14.75,-10.38,5.81,-1.039400096,-1.684230966
铜川,109.125,32.125,2008,3,0.372,24.7,7.41,28.91,48.56,2.46,13.26,-0.182928397,1.093059156
