参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
镇安,109.125,33.375,2001,1,0.266,21.95,-2.06,14.38,23.08,-6.22,2.62,1.022137809,-0.301676393
镇安,109.125,33.375,2001,2,0.282,24.04,1.68,19.87,9.79,-3.93,8.83,0.432058673,0.688157912
镇安,109.125,33.375,2001,3,0.309,19.21,7.47,36.09,15.59,-1.44,15.12,-1.83619087,1.261609684
镇安,109.125,33.375,2001,4,0.396,21.91,12.46,66.55,55.12,0.46,20.05,0.629186355,-0.876627697
镇安,109.125,33.375,2001,5,0.589,19.82,18.46,113.34,44.38,9.23,24.37,-0.852678247,0.787946397
镇安,109.125,33.375,2001,6,0.68,20.9,21.11,110.3,106.22,15.52,25.05,0.879004514,-0.075713297
镇安,109.125,33.375,2001,7,0.786,17.83,24.4,113.55,98.54,18.6,27.28,-0.845933749,0.894140354
镇安,109.125,33.375,2001,8,0.798,20.25,21.03,81.78,79.25,14.63,26.02,-0.341420643,-1.059246683
镇安,109.125,33.375,2001,9,0.782,22.41,16.59,49.33,74.97,11.59,21.45,-0.125864492,-0.491956234
镇安,109.125,33.375,2001,10,0.605,23.35,12.48,30.13,83.95,8.2,16.45,0.001774152,0.91976655
镇安,109.125,33.375,2001,11,0.443,21.37,5.06,16.9,8.71,-1.54,8.65,-1.044356496,0.488490706
镇安,109.125,33.375,2001,12,0.376,22.32,-2.38,16.34,24.64,-8.77,3.75,1.632011148,-2.519801423
镇安,109.125,33.375,2002,1,0.317,22.07,0.96,16.21,14.84,-4.43,7.46,0.109505126,1.400116028
镇安,109.125,33.375,2002,2,0.262,20.85,3.61,13.15,13.53,-2.6,8.14,0.527045716,1.24395062
镇安,109.125,33.375,2002,3,0.29,20.5,7.8,27.89,30.72,-2.84,15.29,-0.016158767,1.079371501
镇安,109.125,33.375,2002,4,0.739,23.68,11.15,52.17,83.0,3.67,19.93,0.427177154,-0.462697841
镇安,109.125,33.375,2002,5,0.715,27.02,15.13,89.83,131.75,8.5,23.81,0.524221554,-1.034056733
镇安,109.125,33.375,2002,6,0.743,25.64,22.59,133.12,159.14,16.45,26.5,1.168448487,1.56065891
镇安,109.125,33.375,2002,7,0.782,22.17,23.85,148.27,65.25,18.41,28.88,-1.548963808,0.771785762
镇安,109.125,33.375,2002,8,0.778,23.48,21.55,102.78,91.65,14.98,27.41,0.085674196,-0.598663993
镇安,109.125,33.375,2002,9,0.762,20.31,17.36,68.41,83.47,11.36,25.57,-0.432058577,0.413699797
镇安,109.125,33.375,2002,10,0.656,22.93,12.87,56.84,77.32,4.19,20.06,-0.495553545,1.01520211
镇安,109.125,33.375,2002,11,0.467,21.95,6.0,20.57,30.65,-1.53,11.24,-1.71673693,0.520027741
镇安,109.125,33.375,2002,12,0.329,22.72,-1.05,7.9,14.75,-12.44,7.41,1.718301171,-1.27030699
镇安,109.125,33.375,2003,1,0.317,19.94,-0.2,12.03,16.99,-7.47,5.54,0.27463676,-0.160813382
镇安,109.125,33.375,2003,2,0.294,22.91,2.61,16.2,20.23,-3.22,8.18,0.472716741,0.781316052
镇安,109.125,33.375,2003,3,0.321,20.92,5.91,27.32,17.24,-6.55,19.96,0.437014319,-0.469478656
镇安,109.125,33.375,2003,4,0.628,23.05,11.42,52.88,61.56,6.66,21.82,0.171471919,-0.279434464
镇安,109.125,33.375,2003,5,0.739,24.8,16.82,96.11,94.46,12.33,21.27,-0.674492815,0.159961022
镇安,109.125,33.375,2003,6,0.778,22.12,21.05,132.24,89.78,12.68,25.08,-0.74832678,0.961230417
镇安,109.125,33.375,2003,7,0.802,26.35,22.64,113.02,171.48,15.53,27.78,0.582298615,-0.464133798
镇安,109.125,33.375,2003,8,0.79,28.43,20.85,74.46,247.33,13.02,25.0,1.794273889,-1.122922585
镇安,109.125,33.375,2003,9,0.794,30.84,18.04,79.14,178.23,11.24,22.0,1.052637405,1.003089357
镇安,109.125,33.375,2003,10,0.691,30.0,11.03,45.82,115.4,6.21,15.45,0.697206346,-0.367705247
镇安,109.125,33.375,2003,11,0.483,28.95,4.46,22.95,46.79,-1.3,14.71,0.974763081,-0.641414615
镇安,109.125,33.375,2003,12,0.388,25.09,-0.14,18.23,19.41,-4.34,2.79,0.301242884,0.124031894
镇安,109.125,33.375,2004,1,0.333,21.84,-1.81,20.68,26.09,-7.76,2.06,-0.02048884,0.367764799
镇安,109.125,33.375,2004,2,0.309,22.03,3.75,25.81,32.33,-4.03,11.76,0.690080076,1.229271312
镇安,109.125,33.375,2004,3,0.357,24.52,7.03,39.51,27.6,1.15,16.43,0.145811624,0.738358586
镇安,109.125,33.375,2004,4,0.656,22.65,14.51,71.67,28.88,6.84,23.6,-0.737067183,1.938623737
镇安,109.125,33.375,2004,5,0.743,21.62,16.93,108.96,73.12,6.61,23.14,-0.093973961,0.472432586
镇安,109.125,33.375,2004,6,0.774,19.83,20.39,113.25,89.95,11.74,26.38,-0.007814128,-0.248567973
镇安,109.125,33.375,2004,7,0.79,21.58,23.13,123.38,128.36,18.2,25.89,-0.875031047,0.502526588
镇安,109.125,33.375,2004,8,0.774,23.78,20.93,74.03,105.35,15.05,25.57,0.881476469,-0.891791882
镇安,109.125,33.375,2004,9,0.778,25.25,17.02,68.54,136.99,7.99,22.83,0.379348779,-0.216665267
镇安,109.125,33.375,2004,10,0.613,25.54,10.62,40.77,37.08,5.33,16.05,-0.500298795,-0.749746267
镇安,109.125,33.375,2004,11,0.475,25.65,5.89,19.62,47.61,-3.89,13.51,-0.184621694,0.509069246
镇安,109.125,33.375,2004,12,0.353,23.16,0.29,10.93,19.86,-11.96,7.82,1.685983155,0.538372669
镇安,109.125,33.375,2005,1,0.266,25.81,-2.31,21.84,7.39,-7.54,0.89,-0.705791998,0.201651734
镇安,109.125,33.375,2005,2,0.274,20.73,-1.28,14.05,19.72,-8.67,6.17,-0.120297837,-0.25187588
镇安,109.125,33.375,2005,3,0.341,21.72,6.49,35.73,17.4,-2.12,13.17,-1.084038365,0.36474558
