参考地名,经度(lon),纬度(lat),年份,月份,NDVI,土壤湿度,气温,蒸散量,降水量,最低气温,最高气温,SPI,STI
长武,107.375,35.125,2001,1,0.235,17.72,-5.3,8.71,16.98,-10.37,-0.39,1.444861079,0.823272226
长武,107.375,35.125,2001,2,0.223,22.07,-1.21,11.44,10.59,-8.24,4.69,1.818380359,0.841927387
长武,107.375,35.125,2001,3,0.239,16.32,4.2,19.69,6.0,-4.89,10.33,-2.589114748,0.935479519
长武,107.375,35.125,2001,4,0.298,19.8,10.34,42.97,34.7,-1.3,17.91,0.089992337,-0.399069694
长武,107.375,35.125,2001,5,0.369,18.63,17.06,86.24,30.36,10.75,22.51,-2.629834378,1.890008681
长武,107.375,35.125,2001,6,0.443,18.89,20.21,69.97,66.07,14.29,25.41,-0.531067508,1.440301278
长武,107.375,35.125,2001,7,0.408,18.44,23.4,67.9,83.92,16.57,26.67,-0.578633461,2.318762101
长武,107.375,35.125,2001,8,0.412,21.19,20.1,56.4,79.99,12.56,25.89,-0.254923073,0.5000172
长武,107.375,35.125,2001,9,0.483,27.23,14.39,31.37,124.07,7.57,19.51,1.408548542,-0.292545682
长武,107.375,35.125,2001,10,0.428,26.3,10.55,22.33,34.03,5.41,13.42,-0.026269215,1.150568346
长武,107.375,35.125,2001,11,0.412,23.75,3.01,19.04,7.83,-2.71,8.66,-1.02111593,0.685479272
长武,107.375,35.125,2001,12,0.294,24.23,-4.15,19.02,19.91,-10.94,1.38,1.252908787,0.255557962
长武,107.375,35.125,2002,1,0.266,18.55,-1.6,11.32,9.06,-8.51,5.21,0.43667993,2.043447472
长武,107.375,35.125,2002,2,0.235,16.77,1.54,6.71,6.38,-3.7,6.12,-0.542923126,1.639956485
长武,107.375,35.125,2002,3,0.227,19.86,6.75,27.9,20.46,-1.96,13.89,-0.608806678,1.614038494
长武,107.375,35.125,2002,4,0.353,21.57,10.36,49.65,41.04,2.38,20.5,0.223717466,0.502216372
长武,107.375,35.125,2002,5,0.451,24.43,14.19,62.31,78.01,7.93,21.94,0.430191852,-0.520648017
长武,107.375,35.125,2002,6,0.459,23.44,21.5,95.28,96.58,16.13,24.68,2.665363786,1.409572545
长武,107.375,35.125,2002,7,0.491,21.0,22.45,90.89,57.08,17.18,28.63,-0.587292184,0.521082771
长武,107.375,35.125,2002,8,0.435,22.95,20.18,65.7,65.57,14.24,27.79,-0.834856428,0.477972594
长武,107.375,35.125,2002,9,0.424,21.82,15.8,42.41,67.49,8.65,24.73,-0.447426861,1.241782571
长武,107.375,35.125,2002,10,0.357,21.92,10.94,31.46,46.09,2.89,18.02,0.324162572,1.287196457
长武,107.375,35.125,2002,11,0.302,20.85,4.3,20.06,10.86,-0.8,9.22,-1.277089038,0.826471758
长武,107.375,35.125,2002,12,0.29,20.29,-4.33,8.34,11.8,-17.27,4.0,1.865481847,-0.432381304
长武,107.375,35.125,2003,1,0.211,18.31,-4.12,5.53,13.86,-14.34,3.27,0.831347792,0.378540877
长武,107.375,35.125,2003,2,0.199,20.12,1.53,13.03,16.52,-4.98,8.55,0.716626004,1.094419806
长武,107.375,35.125,2003,3,0.203,21.47,4.87,25.03,29.95,-5.68,17.62,1.362160384,0.020562593
长武,107.375,35.125,2003,4,0.298,21.5,10.49,41.84,35.08,3.65,20.09,-0.254533447,-0.436918233
长武,107.375,35.125,2003,5,0.392,22.3,15.86,71.73,68.67,9.28,21.8,0.490250289,0.486640399
长武,107.375,35.125,2003,6,0.372,20.69,20.78,93.93,69.71,15.05,24.53,-0.455703259,1.22489758
长武,107.375,35.125,2003,7,0.435,22.7,21.82,76.38,86.33,15.46,26.67,-0.658942431,0.199718237
长武,107.375,35.125,2003,8,0.502,25.01,19.31,55.7,146.37,12.69,24.56,1.39110801,-1.060023672
长武,107.375,35.125,2003,9,0.526,29.05,16.24,53.08,159.14,6.96,20.47,0.784161994,0.786539668
长武,107.375,35.125,2003,10,0.463,28.95,9.12,32.43,67.21,4.33,13.37,1.337222426,-0.677644465
长武,107.375,35.125,2003,11,0.353,27.04,2.16,16.58,24.32,-4.41,11.48,1.302320958,-0.576246954
长武,107.375,35.125,2003,12,0.266,23.97,-2.69,15.29,10.19,-7.85,0.86,0.467088311,0.299959599
长武,107.375,35.125,2004,1,0.223,17.91,-4.14,8.53,6.93,-11.35,-0.02,0.028941437,0.576538185
长武,107.375,35.125,2004,2,0.191,15.36,1.44,8.32,15.64,-7.15,9.15,0.611389894,1.083092997
长武,107.375,35.125,2004,3,0.231,21.4,5.91,28.08,15.53,-3.27,14.87,-0.087680659,0.740128581
长武,107.375,35.125,2004,4,0.325,20.57,14.61,56.35,18.33,5.22,23.1,-1.216289874,2.294058042
长武,107.375,35.125,2004,5,0.443,19.18,16.26,80.51,43.64,2.89,22.54,-0.439736371,0.920099878
长武,107.375,35.125,2004,6,0.396,18.59,20.59,75.96,49.39,12.14,27.4,-0.544222721,0.499156898
长武,107.375,35.125,2004,7,0.443,19.54,22.31,68.8,86.84,15.39,26.2,-0.620045879,0.434111408
长武,107.375,35.125,2004,8,0.522,22.62,20.33,54.98,94.6,14.86,24.91,0.250390493,-0.192358288
长武,107.375,35.125,2004,9,0.514,23.85,15.54,38.02,99.87,6.24,22.54,0.217390728,0.4400792
长武,107.375,35.125,2004,10,0.498,25.4,8.86,31.5,34.03,2.6,13.42,-0.258712752,-0.434698583
长武,107.375,35.125,2004,11,0.384,26.07,3.11,22.18,37.91,-8.92,10.71,-0.191617832,0.150326462
长武,107.375,35.125,2004,12,0.317,22.45,-1.94,10.62,14.82,-15.74,5.01,1.997999555,0.786691922
长武,107.375,35.125,2005,1,0.262,23.22,-4.88,14.26,4.17,-11.17,-1.68,-0.526701626,0.1944
长武,107.375,35.125,2005,2,0.231,19.88,-2.54,11.67,18.41,-11.11,4.59,0.153576474,-0.320129103
长武,107.375,35.125,2005,3,0.25,19.69,5.07,24.43,11.22,-4.16,13.1,-0.397288928,0.24402326
长武,107.375,35.125,2005,4,0.353,19.5,14.03,52.26,21.19,4.19,22.42,-1.817484249,2.125127702
长武,107.375,35.125,2005,5,0.471,18.73,16.69,65.59,73.7,11.83,21.96,-0.378161543,1.380252138
长武,107.375,35.125,2005,6,0.424,21.32,22.12,91.36,69.91,13.88,27.1,-0.387222501,2.169600913
长武,107.375,35.125,2005,7,0.42,23.57,22.88,82.58,107.34,17.6,25.54,0.166623034,0.73473982
长武,107.375,35.125,2005,8,0.55,24.21,19.41,58.74,96.31,13.22,24.59,-0.04230365,-1.276181877
长武,107.375,35.125,2005,9,0.494,24.89,16.6,54.08,105.32,11.03,22.19,0.277167551,1.505291254
长武,107.375,35.125,2005,10,0.491,27.32,9.4,32.78,73.14,4.62,13.42,0.536025905,-0.703738966
长武,107.375,35.125,2005,11,0.42,25.48,4.85,23.94,14.7,-0.38,10.29,-0.365373637,1.004131402
长武,107.375,35.125,2005,12,0.325,18.81,-3.92,8.21,3.47,-9.06,-0.16,-0.842670545,-0.729040565
长武,107.375,35.125,2006,1,0.187,16.69,-4.39,7.92,11.6,-15.05,0.06,0.833409581,0.250391052
长武,107.375,35.125,2006,2,0.227,18.93,0.34,11.38,22.19,-4.51,5.45,1.174512101,0.441077783
长武,107.375,35.125,2006,3,0.262,21.79,6.75,35.17,14.53,-5.64,14.94,-1.252850952,0.605105632
长武,107.375,35.125,2006,4,0.357,21.03,12.48,55.35,39.58,0.56,22.15,-0.891017014,1.353019503
长武,107.375,35.125,2006,5,0.424,22.3,16.7,94.37,67.86,8.06,23.38,0.92851201,1.054287524
长武,107.375,35.125,2006,6,0.412,17.12,21.69,78.36,29.41,15.12,26.95,-0.650685256,1.485164846
长武,107.375,35.125,2006,7,0.467,19.31,24.69,76.63,86.3,18.9,28.98,-0.649006086,1.879794466
长武,107.375,35.125,2006,8,0.447,19.22,22.33,50.31,79.3,15.93,27.03,0.231670597,1.400558863
长武,107.375,35.125,2006,9,0.565,23.74,14.47,43.28,78.85,10.12,21.57,0.070607836,-0.71207272
长武,107.375,35.125,2006,10,0.522,23.38,12.51,39.03,50.26,8.15,16.33,-0.65085588,2.141837088
长武,107.375,35.125,2006,11,0.518,21.35,5.19,21.74,18.89,-1.59,10.96,-0.318297326,1.168876356
长武,107.375,35.125,2006,12,0.42,19.68,-1.59,8.82,2.39,-4.06,1.33,-0.024303851,0.504508849
